Name,Simbad_Identifier,RA_hms,DEC_dms,Teff,logg,log_L,[Fe/H],ul[N/Fe],[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,ul[Sr/Fe],[Sr/Fe],ul[Ba/Fe],[Ba/Fe],I/O,Reference,Ref,epsc_c,MP_key,Ncap_key,C_key,epsc,epsc_f,[C/H],[C/H]f,[Sr/H],ul[Sr/H],[Ba/H],ul[Ba/H],[Sr/Ba],ul[Sr/Ba]
CS 22960-010,BPS CS 22960-010,22:08:25.3504,-44:53:56.708,5737,4.85,-0.52,-2.65,,,0.78,0.0,0.78,,,,,1,Barklem+2005,BAR05,0.0,VMP,,CE,6.56,6.56,-1.8699999999999999,-1.8699999999999999,,,,,,
CS 22963-004,BPS CS 22963-004,02:56:46.5715,-04:51:17.421,5597,3.34,0.95,-3.54,,0.8,0.4,0.0,0.4,,-0.73,,-0.51,1,Yong+2013,YON13,0.0,EMP,,,5.29,5.29,-3.14,-3.14,-4.27,,-4.05,,-0.21999999999999997,
CS 22964-214,BPS CS 22964-214,20:05:49.9993,-39:27:43.358,6180,3.75,0.71,-2.95,,1.51,0.62,0.0,0.62,,-0.25,,-0.54,1,Roederer+2014,ROE14,0.0,VMP,,,6.1,6.1,-2.33,-2.33,-3.2,,-3.49,,0.29000000000000004,
CS 22965-016,BPS CS 22965-016,21:57:07.9207,-04:34:08.378,4904,1.99,2.07,-2.42,,,-0.74,0.04,-0.7,,0.12,-1.07,,1,Lai+2007,LAI07,0.04,VMP,,,5.27,5.31,-3.16,-3.12,-2.3,,,-3.49,,1.19
CS 22965-029,BPS CS 22965-029,21:59:32.2229,-03:36:37.701,5467,3.38,0.87,-2.14,,,-0.64,0.0,-0.64,,0.64,,0.16,1,Lai+2007,LAI07,0.0,VMP,,,5.65,5.65,-2.7800000000000002,-2.7800000000000002,-1.5,,-1.9800000000000002,,0.48,
CS 22965-054,BPS CS 22965-054,22:06:30.2933,-02:32:34.433,6137,3.68,0.77,-3.1,,,0.62,0.0,0.62,,0.19,-0.48,,1,Yong+2013,YON13,0.0,EMP,,,5.95,5.95,-2.48,-2.48,-2.91,,,-3.58,,0.6699999999999999
CS 22966-011,BPS CS 22966-011,23:35:07.0484,-30:22:54.278,6298,4.43,0.06,-3.02,,,0.45,0.0,0.45,,0.13,,-0.05,1,Yong+2013,YON13,0.0,EMP,,,5.86,5.86,-2.57,-2.57,-2.89,,-3.07,,0.18,
CS 22966-057,BPS CS 22966-057,23:48:57.7540,-29:39:22.824,5364,3.07,1.14,-2.43,,0.1,0.06,0.01,0.07,,-0.01,,-0.24,1,Yong+2013,YON13,0.01,VMP,,,6.06,6.07,-2.37,-2.3600000000000003,-2.44,,-2.67,,0.22999999999999998,
CS 22968-001,BPS CS 22968-001,02:57:50.8,-56:51:05,6000,4.0,0.41,-3.01,,,0.48,0.0,0.48,,-0.23,,-0.69,1,Preston+2006,PRE06,0.0,EMP,,,5.9,5.9,-2.53,-2.53,-3.2399999999999998,,-3.6999999999999997,,0.45999999999999996,
CS 22968-014,BPS CS 22968-014,03:06:29.5014,-54:30:32.498,4864,1.6,2.44,-3.58,,0.24,0.25,0.25,0.5,,-1.69,,-1.77,1,Yong+2013,YON13,0.25,EMP,,,5.1,5.35,-3.33,-3.08,-5.27,,-5.35,,0.08000000000000007,
CS 29491-053,BPS CS 29491-053,22:36:56.2965,-28:31:06.577,4700,1.21,2.77,-3.03,,0.82,-0.27,0.66,0.39,,-0.15,,-0.89,1,Yong+2013,YON13,0.66,EMP,,,5.13,5.79,-3.3,-2.6399999999999997,-3.1799999999999997,,-3.92,,0.74,
CS 29491-069,BPS CS 29491-069,22:31:02.1859,-32:38:36.526,5103,2.45,1.68,-2.81,,,0.14,0.01,0.15,,0.29,,0.32,1,Barklem+2005,BAR05,0.01,VMP,,,5.76,5.77,-2.67,-2.66,-2.52,,-2.49,,-0.030000000000000027,
CS 29491-109,BPS CS 29491-109,22:25:01.1983,-32:14:41.336,4736,1.5,2.5,-2.9,,,-0.23,0.43,0.2,,-0.28,,-0.97,1,Barklem+2005,BAR05,0.43,VMP,,,5.3,5.73,-3.13,-2.6999999999999997,-3.1799999999999997,,-3.87,,0.69,
CS 29495-041,BPS CS 29495-041,21:36:33.2900,-28:18:48.440,4740,1.34,2.66,-2.74,,0.4,-0.07,0.55,0.48,,-0.06,,-0.65,1,Yong+2013,YON13,0.55,VMP,,,5.62,6.17,-2.81,-2.2600000000000002,-2.8000000000000003,,-3.39,,0.5900000000000001,
CS 29498-043,BPS CS 29498-043,21:03:52.1197,-29:42:50.344,4440,0.5,3.39,-3.85,,1.71,2.72,0.31,3.03,,-0.3,,-0.51,1,Roederer+2014,ROE14,0.31,EMP,,NO,7.3,7.61,-1.13,-0.8200000000000003,-4.15,,-4.36,,0.21000000000000002,
CS 29499-060,BPS CS 29499-060,23:53:40.2978,-26:58:43.988,6595,4.05,0.52,-2.5,,,0.38,0.0,0.38,,-0.4,-0.51,,1,Yong+2013,YON13,0.0,VMP,,,6.31,6.31,-2.12,-2.12,-2.9,,,-3.01,,0.10999999999999999
CS 29502-042,BPS CS 29502-042,22:21:48.8262,+02:28:44.867,5039,2.09,2.02,-3.27,,-0.43,0.16,0.01,0.17,,-1.88,,-1.69,1,Yong+2013,YON13,0.01,EMP,,,5.32,5.33,-3.11,-3.1,-5.15,,-4.96,,-0.18999999999999995,
CS 29502-092,BPS CS 29502-092,22:22:35.9982,-01:38:27.620,4820,1.5,2.53,-3.2,,1.0,0.96,0.39,1.35,,-0.3,,-1.46,1,Roederer+2014,ROE14,0.39,EMP,,NO,6.19,6.58,-2.24,-1.85,-3.5,,-4.66,,1.16,
CS 29506-090,BPS CS 29506-090,21:30:28.8706,-22:10:41.578,6603,4.18,0.39,-2.62,,,0.41,0.0,0.41,,0.46,,-0.35,1,Yong+2013,YON13,0.0,VMP,,,6.22,6.22,-2.21,-2.21,-2.16,,-2.97,,0.81,
CS 29510-058,BPS CS 29510-058,02:21:46.5781,-24:01:58.700,5192,2.73,1.43,-2.34,,,0.46,0.01,0.47,,0.27,,-0.14,1,Lai+2007,LAI07,0.01,VMP,,,6.55,6.56,-1.88,-1.8699999999999999,-2.07,,-2.48,,0.41000000000000003,
CS 29513-032,BPS CS 29513-032,23:22:19.0938,-39:44:24.309,5810,3.3,1.05,-2.08,,,0.63,0.0,0.63,,,,,1,Roederer+2010,ROE10,0.0,VMP,,,6.98,6.98,-1.4500000000000002,-1.4500000000000002,,,,,,
CS 29516-024,BPS CS 29516-024,22:26:15.3575,+02:51:46.326,4637,1.04,2.92,-3.05,,-0.76,-0.06,0.74,0.68,,-0.48,,-0.9,1,Yong+2013,YON13,0.74,EMP,,,5.32,6.06,-3.11,-2.3699999999999997,-3.53,,-3.9499999999999997,,0.42000000000000004,
CS 29518-051,BPS CS 29518-051,01:24:10.0049,-28:15:21.115,5100,2.29,1.84,-2.64,,0.82,-0.13,0.01,-0.12,,0.15,,-0.45,1,Yong+2013,YON13,0.01,VMP,,,5.66,5.67,-2.77,-2.7600000000000002,-2.49,,-3.0900000000000003,,0.6,
CS 29522-046,BPS CS 29522-046,23:44:59.8584,+08:46:52.866,5974,3.72,0.68,-2.12,,-0.33,0.42,0.0,0.42,,0.16,,-0.13,1,Yong+2013,YON13,0.0,VMP,,,6.73,6.73,-1.7000000000000002,-1.7000000000000002,-1.9600000000000002,,-2.25,,0.29000000000000004,
CS 29527-015,BPS CS 29527-015,00:29:10.6814,-19:10:07.305,6577,3.89,0.68,-3.32,,,1.18,0.0,1.18,,0.44,,,1,Yong+2013,YON13,0.0,EMP,,CE,6.29,6.29,-2.1399999999999997,-2.1399999999999997,-2.88,,,,,
CS 30301-024,BPS CS 30301-024,15:08:29.6579,-00:35:59.273,6584,4.03,0.54,-2.54,,,0.23,0.0,0.23,,,,-0.28,1,Yong+2013,YON13,0.0,VMP,,,6.12,6.12,-2.31,-2.31,,,-2.8200000000000003,,,
CS 30306-082,BPS CS 30306-082,15:21:25.3346,+05:57:32.309,5598,3.5,0.79,-2.43,,,0.21,0.0,0.21,,-0.22,,-0.41,1,Lai+2007,LAI07,0.0,VMP,,,6.21,6.21,-2.22,-2.22,-2.6500000000000004,,-2.8400000000000003,,0.18999999999999997,
CS 30308-035,BPS CS 30308-035,20:45:54.1494,-44:50:29.309,4806,1.78,2.24,-3.35,,,0.0,0.09,0.09,,-0.71,,,1,Barklem+2005,BAR05,0.09,EMP,,,5.08,5.17,-3.35,-3.2600000000000002,-4.0600000000000005,,,,,
CS 30312-059,BPS CS 30312-059,15:34:48.8386,-01:23:37.343,4908,1.75,2.31,-3.22,-0.48,,0.27,0.11,0.38,,0.02,,-0.14,1,Yong+2013,YON13,0.11,EMP,,,5.48,5.59,-2.95,-2.8400000000000003,-3.2,,-3.3600000000000003,,0.16,
CS 30312-100,BPS CS 30312-100,15:43:31.6557,+02:01:17.338,5117,2.34,1.79,-2.66,1.85,,0.54,0.01,0.55,,,,-0.73,1,Yong+2013,YON13,0.01,VMP,,,6.31,6.32,-2.12,-2.1100000000000003,,,-3.39,,,
CS 30314-067,BPS CS 30314-067,20:52:50.9878,-34:19:40.547,4320,0.5,3.34,-3.01,,1.18,0.55,0.66,1.21,,-0.27,,-0.55,1,Roederer+2014,ROE14,0.66,EMP,,NO,5.97,6.63,-2.46,-1.7999999999999998,-3.28,,-3.5599999999999996,,0.28,
CS 30315-001,BPS CS 30315-001,23:37:38.8276,-26:21:53.215,4565,1.14,2.79,-2.97,,,-0.54,0.72,0.18,,0.42,,-0.87,1,Barklem+2005,BAR05,0.72,VMP,,,4.92,5.64,-3.5100000000000002,-2.79,-2.5500000000000003,,-3.8400000000000003,,1.29,
CS 30315-029,BPS CS 30315-029,23:34:26.6960,-26:42:14.003,4541,1.07,2.85,-3.33,,,-0.47,0.75,0.28,,-0.09,,0.36,1,Barklem+2005,BAR05,0.75,EMP,,,4.63,5.38,-3.8,-3.05,-3.42,,-2.97,,-0.44999999999999996,
CS 30315-093,BPS CS 30315-093,23:16:16.7966,-25:08:59.088,5638,3.52,0.78,-2.39,,,-0.09,0.0,-0.09,,-0.11,,-0.52,1,Lai+2007,LAI07,0.0,VMP,,,5.95,5.95,-2.48,-2.48,-2.5,,-2.91,,0.41000000000000003,
CS 30319-020,BPS CS 30319-020,21:19:39.3112,-26:52:39.678,5200,2.5,1.66,-2.35,,,0.32,0.01,0.33,,-0.01,,-0.73,1,Aoki+2005,AOK05,0.01,VMP,,,6.4,6.41,-2.0300000000000002,-2.02,-2.36,,-3.08,,0.72,
CS 30325-028,BPS CS 30325-028,15:05:19.8064,+06:17:06.933,4894,1.73,2.32,-2.87,,-0.22,0.38,0.21,0.59,,0.19,,-0.49,1,Yong+2013,YON13,0.21,VMP,,,5.94,6.15,-2.49,-2.2800000000000002,-2.68,,-3.3600000000000003,,0.6799999999999999,
CS 30325-094,BPS CS 30325-094,14:54:39.2685,+04:21:38.099,4948,1.85,2.22,-3.35,,0.18,0.0,0.04,0.04,,-2.14,,-1.88,1,Yong+2013,YON13,0.04,EMP,,,5.08,5.12,-3.35,-3.31,-5.49,,-5.23,,-0.26000000000000023,
CS 30329-004,BPS CS 30329-004,15:48:41.8874,-06:52:37.316,5000,1.5,2.59,-2.75,,,-0.28,0.46,0.18,,0.07,,-0.89,1,Aoki+2005,AOK05,0.46,VMP,,,5.4,5.86,-3.0300000000000002,-2.57,-2.68,,-3.64,,0.96,
CS 30329-129,BPS CS 30329-129,15:31:39.0679,-06:48:39.803,5467,3.37,0.88,-2.24,,,0.11,0.0,0.11,,0.04,,-0.6,1,Lai+2007,LAI07,0.0,VMP,,,6.3,6.3,-2.1300000000000003,-2.1300000000000003,-2.2,,-2.8400000000000003,,0.64,
CS 30336-049,BPS CS 30336-049,20:45:23.5333,-28:42:35.912,4827,1.51,2.52,-4.03,,1.0,-0.2,0.29,0.09,,-1.53,,-1.5,1,Lai+2008,LAI08,0.29,UMP,,,4.2,4.49,-4.23,-3.9400000000000004,-5.5600000000000005,,-5.53,,-0.030000000000000027,
CS 30337-097,BPS CS 30337-097,22:01:21.5117,-30:57:57.614,4865,1.81,2.23,-2.74,,,-0.08,0.15,0.07,,,,,1,Barklem+2005,BAR05,0.15,VMP,,,5.61,5.76,-2.8200000000000003,-2.6700000000000004,,,,,,
CS 30339-041,BPS CS 30339-041,00:23:12.9329,-37:01:26.746,5478,2.1,2.15,-2.21,,,-0.45,0.01,-0.44,,0.25,,0.07,1,Barklem+2005,BAR05,0.01,VMP,,,5.77,5.78,-2.66,-2.65,-1.96,,-2.14,,0.18,
CS 30339-069,BPS CS 30339-069,00:30:15.9610,-35:56:51.229,6326,3.79,0.71,-3.05,,,0.56,0.0,0.56,,-0.0,,,1,Yong+2013,YON13,0.0,EMP,,,5.94,5.94,-2.4899999999999998,-2.4899999999999998,-3.05,,,,,
CS 30343-063,BPS CS 30343-063,21:45:17.5016,-37:22:18.529,4412,0.83,3.04,-2.97,,,-0.71,0.75,0.04,,0.05,,-0.95,1,Barklem+2005,BAR05,0.75,VMP,,,4.75,5.5,-3.68,-2.93,-2.9200000000000004,,-3.92,,1.0,
CS 30492-001,BPS CS 30492-001,21:05:55.2354,-42:10:10.087,5790,3.65,0.7,-2.35,,1.12,-0.05,0.0,-0.05,,,,-0.45,1,Roederer+2014,ROE14,0.0,VMP,,,6.03,6.03,-2.4,-2.4,,,-2.8000000000000003,,,
CS 31060-047,BPS CS 31060-047,00:08:07.8079,-15:54:03.796,4749,1.55,2.45,-2.72,,,-0.3,0.41,0.11,,-0.04,,-1.07,1,Barklem+2005,BAR05,0.41,VMP,,,5.41,5.82,-3.02,-2.6100000000000003,-2.7600000000000002,,-3.79,,1.03,
CS 31061-032,BPS CS 31061-032,02:38:43.3009,+03:19:02.563,6448,4.33,0.2,-2.56,,,0.56,0.0,0.56,,0.31,,-0.4,1,Yong+2013,YON13,0.0,VMP,,,6.43,6.43,-2.0,-2.0,-2.25,,-2.96,,0.71,
CS 31062-041,BPS CS 31062-041,00:35:03.0121,-15:54:29.358,4990,2.0,2.09,-2.65,1.59,,0.58,0.04,0.62,,-0.29,,-0.42,1,Yong+2013,YON13,0.04,VMP,,,6.36,6.4,-2.07,-2.03,-2.94,,-3.07,,0.13,
CS 31069-064,BPS CS 31069-064,00:16:12.5579,+04:49:34.638,5468,3.38,0.87,-2.02,,,0.16,0.0,0.16,,-0.53,,-0.9,1,Lai+2007,LAI07,0.0,VMP,,,6.57,6.57,-1.86,-1.86,-2.55,,-2.92,,0.37,
CS 31070-058,BPS CS 31070-058,00:14:33.9249,+05:51:44.591,4864,1.89,2.15,-2.12,,,0.11,0.14,0.25,,0.17,,-0.21,1,Lai+2007,LAI07,0.14,VMP,,,6.42,6.56,-2.0100000000000002,-1.87,-1.9500000000000002,,-2.33,,0.38,
CS 31072-118,BPS CS 31072-118,05:08:53.5581,-59:18:21.741,4606,1.25,2.7,-3.06,,,-0.54,0.65,0.11,,-0.07,,-1.09,1,Barklem+2005,BAR05,0.65,EMP,,,4.83,5.48,-3.6,-2.95,-3.13,,-4.15,,1.02,
CS 31085-024,BPS CS 31085-024,00:08:27.9327,+10:54:19.831,5778,4.64,-0.3,-2.8,-0.24,,0.36,0.0,0.36,,-0.24,,-0.57,1,Yong+2013,YON13,0.0,VMP,,,5.99,5.99,-2.44,-2.44,-3.04,,-3.3699999999999997,,0.32999999999999996,
G 64-37,G 64-37,14:02:30.0900,-05:39:05.181,6318,4.16,0.34,-3.12,,,0.25,0.0,0.25,,,,,1,Simmerer+2004,SIM04,0.0,EMP,,,5.56,5.56,-2.87,-2.87,,,,,,
G 77-61,G 77-61,03:32:38.0920,+01:58:00.084,4000,5.0,-1.3,-4.03,,2.48,2.49,0.0,2.49,,,1.0,,1,Masseron+2012,MAS12,0.0,UMP,,NO,6.89,6.89,-1.54,-1.54,,,,-3.0300000000000002,,
HD 3008,HD 3008,00:33:14.3108,-10:43:42.728,4250,1.03,2.78,-2.08,,,-0.29,0.65,0.36,,,,0.08,1,Simmerer+2004,SIM04,0.65,VMP,,,6.06,6.71,-2.37,-1.7200000000000002,,,-2.0,,,
HD 4306,HD 4306,00:45:27.1616,-09:32:39.785,4854,1.61,2.43,-3.04,,,0.11,0.31,0.42,,-0.07,,-1.17,1,Yong+2013,YON13,0.31,EMP,,,5.5,5.81,-2.93,-2.62,-3.11,,-4.21,,1.0999999999999999,
HD 5426,HD 5426,00:55:41.0497,-33:45:11.452,4910,1.9,2.16,-2.39,,,-0.04,0.12,0.08,,0.24,,-0.14,1,McWilliam+1995,MCW95,0.12,VMP,,,6.0,6.12,-2.43,-2.31,-2.1500000000000004,,-2.5300000000000002,,0.38,
HD 6268,HD 6268,01:03:18.1716,-27:52:49.953,4696,1.23,2.75,-2.74,,,-0.67,0.68,0.01,,0.11,,-0.04,1,Yong+2013,YON13,0.68,VMP,,,5.02,5.7,-3.41,-2.7300000000000004,-2.6300000000000003,,-2.7800000000000002,,0.15,
HD 13979,HD 13979,02:15:20.8534,-25:54:54.872,4970,1.15,2.93,-2.63,,,-0.5,0.7,0.2,,-0.91,,-0.73,1,McWilliam+1995,MCW95,0.7,VMP,,,5.3,6.0,-3.13,-2.4299999999999997,-3.54,,-3.36,,-0.18000000000000005,
HD 26169,HD 26169,04:00:52.4379,-75:36:11.436,4750,1.35,2.65,-2.8,,-0.45,0.15,0.54,0.69,,0.44,,-0.5,1,Roederer+2014,ROE14,0.54,VMP,,,5.78,6.32,-2.65,-2.11,-2.36,,-3.3,,0.94,
HD 29574,HD 29574,04:38:55.7330,-13:20:48.133,4250,0.8,3.01,-2.0,,,-0.69,0.71,0.02,,,,0.59,1,Simmerer+2004,SIM04,0.71,VMP,,,5.74,6.45,-2.69,-1.98,,,-1.4100000000000001,,,
HD 85773,HD 85773,09:53:39.2426,-22:50:08.424,4268,0.87,2.95,-2.62,,,-0.49,0.75,0.26,,,,-0.49,1,Simmerer+2004,SIM04,0.75,VMP,,,5.32,6.07,-3.1100000000000003,-2.3600000000000003,,,-3.1100000000000003,,,
HD 88609,HD 88609,10:14:28.9853,+53:33:39.342,4541,0.8,3.12,-2.98,,,-0.51,0.75,0.24,,-0.01,,-1.05,1,Yong+2013,YON13,0.75,VMP,,,4.94,5.69,-3.49,-2.74,-2.9899999999999998,,-4.03,,1.04,
HD 103036,HD 103036,11:51:50.1113,-05:45:44.183,4200,1.14,2.65,-2.04,,,-0.39,0.63,0.24,,,,,1,Simmerer+2004,SIM04,0.63,VMP,,,6.0,6.63,-2.43,-1.8,,,,,,
HD 103545,HD 103545,11:55:27.1610,+09:07:45.019,4666,1.64,2.33,-2.45,,,-0.44,0.37,-0.07,,,,-0.04,1,Simmerer+2004,SIM04,0.37,VMP,,,5.54,5.91,-2.89,-2.52,,,-2.49,,,
HD 107752,HD 107752,12:22:52.7183,+11:36:25.486,4649,1.63,2.34,-2.78,,,-0.59,0.32,-0.27,,,,-0.24,1,Simmerer+2004,SIM04,0.32,VMP,,,5.06,5.38,-3.3699999999999997,-3.05,,,-3.0199999999999996,,,
HD 108317,HD 108317,12:26:36.8319,+05:18:09.023,5234,2.68,1.49,-2.18,,,-0.09,0.01,-0.08,,,,0.58,1,Simmerer+2004,SIM04,0.01,VMP,,,6.16,6.17,-2.27,-2.2600000000000002,,,-1.6,,,
HD 110184,HD 110184,12:40:14.0781,+08:31:38.057,4250,0.79,3.02,-2.72,,,-0.34,0.75,0.41,,-0.02,,-0.01,1,Simmerer+2004,SIM04,0.75,VMP,,,5.37,6.12,-3.06,-2.31,-2.74,,-2.73,,-0.01,
HD 115444,HD 115444,13:16:42.4590,+36:22:52.692,4711,1.23,2.76,-2.65,,,-0.41,0.66,0.25,,0.32,,0.14,1,Yong+2013,YON13,0.66,VMP,,,5.37,6.03,-3.06,-2.4,-2.33,,-2.51,,0.18,
HD 122563,HD 122563,14:02:31.8455,+09:41:09.944,4843,1.62,2.42,-2.54,,0.7,-0.44,0.36,-0.08,,-0.38,,-1.12,1,Yong+2013,YON13,0.36,VMP,,,5.45,5.81,-2.98,-2.62,-2.92,,-3.66,,0.7400000000000001,
HD 126587,HD 126587,14:27:00.3636,-22:14:38.992,4853,1.61,2.43,-3.0,,,0.19,0.31,0.5,,-0.09,,-0.1,1,Yong+2013,YON13,0.31,EMP,,,5.62,5.93,-2.81,-2.5,-3.09,,-3.1,,0.010000000000000009,
HD 128279,HD 128279,14:36:48.5108,-29:06:46.612,5050,2.15,1.96,-2.52,,-0.39,0.08,0.01,0.09,,-0.51,,-0.64,1,Roederer+2014,ROE14,0.01,VMP,,,5.99,6.0,-2.44,-2.43,-3.0300000000000002,,-3.16,,0.13,
HD 135148,HD 135148,15:13:17.4566,+12:27:25.533,4183,1.24,2.54,-2.17,,,0.76,0.34,1.1,,,,0.3,1,Simmerer+2004,SIM04,0.34,VMP,,CE,7.02,7.36,-1.41,-1.0699999999999998,,,-1.8699999999999999,,,
HD 140283,HD 140283,15:43:03.0971,-10:56:00.595,5711,3.53,0.79,-2.56,,,0.28,0.0,0.28,,-0.05,,-0.94,1,Yong+2013,YON13,0.0,VMP,,,6.15,6.15,-2.2800000000000002,-2.2800000000000002,-2.61,,-3.5,,0.8899999999999999,
HD 165195,HD 165195,18:04:40.0713,+03:46:44.716,4237,0.78,3.02,-2.6,,,-0.54,0.75,0.21,,0.11,,0.23,1,Simmerer+2004,SIM04,0.75,VMP,,,5.29,6.04,-3.14,-2.39,-2.49,,-2.37,,-0.12000000000000001,
HD 178443,HD 178443,19:10:36.8478,-43:16:36.165,5180,1.65,2.5,-2.05,,,-0.28,0.35,0.07,,0.27,,0.01,1,McWilliam+1995,MCW95,0.35,VMP,,,6.1,6.45,-2.33,-1.9799999999999998,-1.7799999999999998,,-2.04,,0.26,
HD 186478,HD 186478,19:45:14.1409,-17:29:27.071,4629,1.07,2.89,-2.68,,0.62,-0.28,0.73,0.45,,0.32,,-0.04,1,Yong+2013,YON13,0.73,VMP,,,5.47,6.2,-2.96,-2.23,-2.3600000000000003,,-2.72,,0.36,
HD 200654,HD 200654,21:06:34.7513,-49:57:50.280,5160,2.55,1.6,-2.8,,,0.27,0.01,0.28,,-0.44,,-0.83,1,McWilliam+1995,MCW95,0.01,VMP,,,5.9,5.91,-2.53,-2.5199999999999996,-3.2399999999999998,,-3.63,,0.38999999999999996,
HD 214925,HD 214925,22:41:59.4323,-20:47:03.709,4050,0.3,3.43,-2.03,,,-0.85,0.74,-0.11,,,,,1,Aoki+2008,AOK08,0.74,VMP,,,5.55,6.29,-2.88,-2.1399999999999997,,,,,,
HD 215801,HD 215801,22:48:29.4254,-46:03:50.538,6005,3.81,0.6,-2.29,,,0.04,0.0,0.04,,,,,1,Akerman+2004,AKE04,0.0,VMP,,,6.18,6.18,-2.25,-2.25,,,,,,
HD 216143,HD 216143,22:50:31.0883,-06:54:49.554,4450,0.8,3.09,-2.27,,,-0.41,0.73,0.32,,0.21,,-0.27,1,Aoki+2008,AOK08,0.73,VMP,,,5.75,6.48,-2.68,-1.95,-2.06,,-2.54,,0.48,
HD 237846,HD 237846,09:52:38.6827,+57:54:58.614,4600,1.0,2.95,-3.29,,,0.17,0.75,0.92,,,,,1,Roederer+2010,ROE10,0.75,EMP,,CE,5.31,6.06,-3.12,-2.37,,,,,,
HD 340279,HD 340279,20:24:45.4125,+25:03:07.109,6273,4.25,0.24,-2.62,,,0.17,0.0,0.17,,,,,1,Akerman+2004,AKE04,0.0,VMP,,,5.98,5.98,-2.45,-2.45,,,,,,
HE 0005-0002,HE 0005-0002,00:08:06.7698,+00:14:08.966,4726,1.58,2.41,-3.06,,,0.13,0.32,0.45,,0.29,,-0.03,1,Barklem+2005,BAR05,0.32,EMP,,,5.5,5.82,-2.93,-2.61,-2.77,,-3.09,,0.31999999999999995,
HE 0007-1832,HE 0007-1832,00:09:52.7815,-18:16:12.275,6500,3.8,0.75,-2.79,,2.11,2.66,0.0,2.66,,0.22,,0.09,1,Cohen+2013,COH13,0.0,VMP,,CE,8.3,8.3,-0.1299999999999999,-0.1299999999999999,-2.57,,-2.7,,0.13,
HE 0008-3842,HE 0008-3842,00:10:56.0380,-38:26:10.033,4327,0.65,3.19,-3.33,,,-0.93,0.73,-0.2,,-1.4,,-1.8,1,Barklem+2005,BAR05,0.73,EMP,,,4.17,4.9,-4.26,-3.5300000000000002,-4.73,,-5.13,,0.40000000000000013,
HE 0009-6039,HE 0009-6039,00:11:30.8738,-60:22:21.344,5250,2.7,1.48,-3.29,,,0.16,0.01,0.17,,,,-1.11,1,Cohen+2013,COH13,0.01,EMP,,,5.3,5.31,-3.13,-3.12,,,-4.4,,,
HE 0011-0035,HE 0011-0035,00:14:15.80,-00:18:59.0,4950,1.8,2.27,-2.99,,,0.0,0.12,0.12,,,,-0.27,1,Cohen+2013,COH13,0.12,VMP,,,5.44,5.56,-2.99,-2.87,,,-3.2600000000000002,,,
HE 0013-0257,HE 0013-0257,00:16:04.2396,-02:41:05.132,4500,0.5,3.41,-3.82,,,-0.22,0.69,0.47,,,,-1.16,1,Hollek+2011,HOL11,0.69,EMP,,,4.39,5.08,-4.04,-3.3499999999999996,,,-4.9799999999999995,,,
HE 0013-0522,HE 0013-0522,00:16:28.1078,-05:05:51.983,4900,1.7,2.36,-3.24,,,0.22,0.15,0.37,,,,-0.89,1,Hollek+2011,HOL11,0.15,EMP,,,5.41,5.56,-3.02,-2.87,,,-4.13,,,
HE 0015+0048,HE 0015+0048,00:18:01.4291,+01:05:08.139,4600,0.9,3.05,-3.07,,,0.62,0.67,1.29,,,,-1.17,1,Hollek+2011,HOL11,0.67,EMP,,NO,5.98,6.65,-2.4499999999999997,-1.7799999999999998,,,-4.24,,,
HE 0017-4838,HE 0017-4838,00:19:48.3262,-48:21:23.740,5149,2.23,1.91,-3.23,,,-0.33,0.0,-0.33,,0.78,,-0.83,1,Barklem+2005,BAR05,0.0,EMP,,,4.87,4.87,-3.56,-3.56,-2.45,,-4.06,,1.6099999999999999,
HE 0018-1349,HE 0018-1349,00:20:52.3850,-13:32:29.683,5719,4.62,-0.29,-2.27,,,0.32,0.0,0.32,,0.05,,0.43,1,Barklem+2005,BAR05,0.0,VMP,,,6.48,6.48,-1.95,-1.95,-2.22,,-1.84,,-0.38,
HE 0029-1839,HE 0029-1839,00:32:07.7474,-18:22:36.813,5010,2.19,1.91,-2.5,,,0.27,0.01,0.28,,0.13,,-1.35,1,Barklem+2005,BAR05,0.01,VMP,,,6.2,6.21,-2.23,-2.2199999999999998,-2.37,,-3.85,,1.48,
HE 0037-0348,HE 0037-0348,00:40:03.2892,-03:32:02.704,4920,1.8,2.26,-3.15,,0.92,0.12,0.1,0.22,,,,-0.52,1,Cohen+2013,COH13,0.1,EMP,,,5.4,5.5,-3.03,-2.9299999999999997,,,-3.67,,,
HE 0037-2657,HE 0037-2657,00:39:51.7838,-26:41:31.911,4982,2.21,1.88,-3.22,,,0.27,0.01,0.28,,-0.54,,-1.14,1,Barklem+2005,BAR05,0.01,EMP,,,5.48,5.49,-2.95,-2.9400000000000004,-3.7600000000000002,,-4.36,,0.5999999999999999,
HE 0039-4154,HE 0039-4154,00:41:43.4057,-41:37:57.347,4784,1.5,2.52,-3.18,,,0.06,0.38,0.44,,-0.14,,0.02,1,Cohen+2013,COH13,0.38,EMP,,,5.31,5.69,-3.12,-2.74,-3.3200000000000003,,-3.16,,-0.16,
HE 0043-2845,HE 0043-2845,00:45:55.9363,-28:29:17.186,5517,4.42,-0.16,-2.91,,,0.15,0.0,0.15,,-0.67,,,1,Barklem+2005,BAR05,0.0,VMP,,,5.67,5.67,-2.7600000000000002,-2.7600000000000002,-3.58,,,,,
