Name,Teff,logg,log_L,[Fe/H],ul[N/Fe],[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,ul[Sr/Fe],[Sr/Fe],ul[Ba/Fe],[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key,epsc,epsc_f,[C/H],[C/H]f,[Sr/H],ul[Sr/H],[Ba/H],ul[Ba/H],[Sr/Ba]
CS 29506-007,6522,3.94,0.61,-2.73,0.93,,0.49,0.0,0.49,,0.18,,0.09,1,Yong+2013,YON13,VMP,,,6.19,6.19,-2.24,-2.24,-2.55,,-2.64,,0.09
CS 29506-090,6603,4.18,0.39,-2.62,,,0.41,0.0,0.41,,0.46,,-0.35,1,Yong+2013,YON13,VMP,,,6.22,6.22,-2.21,-2.21,-2.16,,-2.97,,0.81
CS 29510-058,5192,2.73,1.43,-2.34,,,0.46,0.01,0.47,,0.27,,-0.14,1,Lai+2007,LAI07,VMP,,,6.55,6.56,-1.88,-1.8699999999999999,-2.07,,-2.48,,0.41000000000000003
CS 29513-032,5810,3.3,1.05,-2.08,,,0.63,0.0,0.63,,,,,1,Roederer+2010,ROE10,VMP,,,6.98,6.98,-1.4500000000000002,-1.4500000000000002,,,,,
CS 29516-024,4637,1.04,2.92,-3.05,,-0.76,-0.06,0.74,0.68,,-0.48,,-0.9,1,Yong+2013,YON13,EMP,,,5.32,6.06,-3.11,-2.3699999999999997,-3.53,,-3.9499999999999997,,0.42000000000000004
CS 29517-025,5647,3.53,0.77,-2.02,,,-0.39,0.0,-0.39,,0.77,,0.71,0,Lai+2007,LAI07,VMP,,,6.02,6.02,-2.41,-2.41,-1.25,,-1.31,,0.06000000000000005
CS 29518-051,5100,2.29,1.84,-2.64,,0.82,-0.13,0.01,-0.12,,0.15,,-0.45,1,Yong+2013,YON13,VMP,,,5.66,5.67,-2.77,-2.7600000000000002,-2.49,,-3.0900000000000003,,0.6
CS 29522-046,5974,3.72,0.68,-2.12,,-0.33,0.42,0.0,0.42,,0.16,,-0.13,1,Yong+2013,YON13,VMP,,,6.73,6.73,-1.7000000000000002,-1.7000000000000002,-1.9600000000000002,,-2.25,,0.29000000000000004
CS 29527-015,6577,3.89,0.68,-3.32,,,1.18,0.0,1.18,,0.44,,,1,Yong+2013,YON13,EMP,,CE,6.29,6.29,-2.1399999999999997,-2.1399999999999997,-2.88,,,,
CS 30301-024,6584,4.03,0.54,-2.54,,,0.23,0.0,0.23,,,,-0.28,1,Yong+2013,YON13,VMP,,,6.12,6.12,-2.31,-2.31,,,-2.8200000000000003,,
CS 30306-082,5598,3.5,0.79,-2.43,,,0.21,0.0,0.21,,-0.22,,-0.41,1,Lai+2007,LAI07,VMP,,,6.21,6.21,-2.22,-2.22,-2.6500000000000004,,-2.8400000000000003,,0.18999999999999997
CS 30306-132,5047,2.16,1.95,-2.56,,,0.34,0.01,0.35,,0.18,,0.22,1,Yong+2013,YON13,VMP,,,6.21,6.22,-2.22,-2.21,-2.38,,-2.34,,-0.04000000000000001
CS 30308-035,4806,1.78,2.24,-3.35,,,0.0,0.09,0.09,,-0.71,,,1,Barklem+2005,BAR05,EMP,,,5.08,5.17,-3.35,-3.2600000000000002,-4.0600000000000005,,,,
CS 30312-059,4908,1.75,2.31,-3.22,-0.48,,0.27,0.11,0.38,,0.02,,-0.14,1,Yong+2013,YON13,EMP,,,5.48,5.59,-2.95,-2.8400000000000003,-3.2,,-3.3600000000000003,,0.16
CS 30312-100,5117,2.34,1.79,-2.66,1.85,,0.54,0.01,0.55,,,,-0.73,1,Yong+2013,YON13,VMP,,,6.31,6.32,-2.12,-2.1100000000000003,,,-3.39,,
CS 30314-067,4320,0.5,3.34,-3.01,,1.18,0.55,0.66,1.21,,-0.27,,-0.55,1,Roederer+2014,ROE14,EMP,,NO,5.97,6.63,-2.46,-1.7999999999999998,-3.28,,-3.5599999999999996,,0.28
CS 30315-001,4565,1.14,2.79,-2.97,,,-0.54,0.72,0.18,,0.42,,-0.87,1,Barklem+2005,BAR05,VMP,,,4.92,5.64,-3.5100000000000002,-2.79,-2.5500000000000003,,-3.8400000000000003,,1.29
CS 30315-029,4541,1.07,2.85,-3.33,,,-0.47,0.75,0.28,,-0.09,,0.36,1,Barklem+2005,BAR05,EMP,,,4.63,5.38,-3.8,-3.05,-3.42,,-2.97,,-0.44999999999999996
CS 30315-093,5638,3.52,0.78,-2.39,,,-0.09,0.0,-0.09,,-0.11,,-0.52,1,Lai+2007,LAI07,VMP,,,5.95,5.95,-2.48,-2.48,-2.5,,-2.91,,0.41000000000000003
CS 30319-020,5200,2.5,1.66,-2.35,,,0.32,0.01,0.33,,-0.01,,-0.73,1,Aoki+2005,AOK05,VMP,,,6.4,6.41,-2.0300000000000002,-2.02,-2.36,,-3.08,,0.72
CS 30325-028,4894,1.73,2.32,-2.87,,-0.22,0.38,0.21,0.59,,0.19,,-0.49,1,Yong+2013,YON13,VMP,,,5.94,6.15,-2.49,-2.2800000000000002,-2.68,,-3.3600000000000003,,0.6799999999999999
CS 30325-094,4948,1.85,2.22,-3.35,,0.18,0.0,0.04,0.04,,-2.14,,-1.88,1,Yong+2013,YON13,EMP,,,5.08,5.12,-3.35,-3.31,-5.49,,-5.23,,-0.26000000000000023
CS 30327-038,5100,1.7,2.43,-2.64,,,-0.19,0.27,0.08,,-0.59,,-1.46,1,Aoki+2005,AOK05,VMP,,,5.6,5.87,-2.83,-2.56,-3.23,,-4.1,,0.87
CS 30329-004,5000,1.5,2.59,-2.75,,,-0.28,0.46,0.18,,0.07,,-0.89,1,Aoki+2005,AOK05,VMP,,,5.4,5.86,-3.0300000000000002,-2.57,-2.68,,-3.64,,0.96
CS 30329-129,5467,3.37,0.88,-2.24,,,0.11,0.0,0.11,,0.04,,-0.6,1,Lai+2007,LAI07,VMP,,,6.3,6.3,-2.1300000000000003,-2.1300000000000003,-2.2,,-2.8400000000000003,,0.64
CS 30336-049,4827,1.51,2.52,-4.03,,1.0,-0.2,0.29,0.09,,-1.53,,-1.5,1,Lai+2008,LAI08,UMP,,,4.2,4.49,-4.23,-3.9400000000000004,-5.5600000000000005,,-5.53,,-0.030000000000000027
CS 30337-097,4865,1.81,2.23,-2.74,,,-0.08,0.15,0.07,,,,,1,Barklem+2005,BAR05,VMP,,,5.61,5.76,-2.8200000000000003,-2.6700000000000004,,,,,
CS 30339-041,5478,2.1,2.15,-2.21,,,-0.45,0.01,-0.44,,0.25,,0.07,1,Barklem+2005,BAR05,VMP,,,5.77,5.78,-2.66,-2.65,-1.96,,-2.14,,0.18
CS 30339-069,6326,3.79,0.71,-3.05,,,0.56,0.0,0.56,,-0.0,,,1,Yong+2013,YON13,EMP,,,5.94,5.94,-2.4899999999999998,-2.4899999999999998,-3.05,,,,
CS 30343-063,4412,0.83,3.04,-2.97,,,-0.71,0.75,0.04,,0.05,,-0.95,1,Barklem+2005,BAR05,VMP,,,4.75,5.5,-3.68,-2.93,-2.9200000000000004,,-3.92,,1.0
CS 30492-001,5790,3.65,0.7,-2.35,,1.12,-0.05,0.0,-0.05,,,,-0.45,1,Roederer+2014,ROE14,VMP,,,6.03,6.03,-2.4,-2.4,,,-2.8000000000000003,,
CS 31060-047,4749,1.55,2.45,-2.72,,,-0.3,0.41,0.11,,-0.04,,-1.07,1,Barklem+2005,BAR05,VMP,,,5.41,5.82,-3.02,-2.6100000000000003,-2.7600000000000002,,-3.79,,1.03
CS 31061-032,6448,4.33,0.2,-2.56,,,0.56,0.0,0.56,,0.31,,-0.4,1,Yong+2013,YON13,VMP,,,6.43,6.43,-2.0,-2.0,-2.25,,-2.96,,0.71
CS 31062-041,4990,2.0,2.09,-2.65,1.59,,0.58,0.04,0.62,,-0.29,,-0.42,1,Yong+2013,YON13,VMP,,,6.36,6.4,-2.07,-2.03,-2.94,,-3.07,,0.13
CS 31069-064,5468,3.38,0.87,-2.02,,,0.16,0.0,0.16,,-0.53,,-0.9,1,Lai+2007,LAI07,VMP,,,6.57,6.57,-1.86,-1.86,-2.55,,-2.92,,0.37
CS 31070-058,4864,1.89,2.15,-2.12,,,0.11,0.14,0.25,,0.17,,-0.21,1,Lai+2007,LAI07,VMP,,,6.42,6.56,-2.0100000000000002,-1.87,-1.9500000000000002,,-2.33,,0.38
CS 31072-118,4606,1.25,2.7,-3.06,,,-0.54,0.65,0.11,,-0.07,,-1.09,1,Barklem+2005,BAR05,EMP,,,4.83,5.48,-3.6,-2.95,-3.13,,-4.15,,1.02
CS 31078-018,5100,2.27,1.86,-2.99,,-0.38,0.37,0.01,0.38,,0.26,,0.38,1,Yong+2013,YON13,VMP,,,5.81,5.82,-2.62,-2.6100000000000003,-2.7300000000000004,,-2.6100000000000003,,-0.12
CS 31082-001,4866,1.66,2.38,-2.75,,-0.51,0.16,0.3,0.46,,0.75,,1.02,0,Yong+2013,YON13,VMP,R2,,5.84,6.14,-2.59,-2.29,-2.0,,-1.73,,-0.27
CS 31085-024,5778,4.64,-0.3,-2.8,-0.24,,0.36,0.0,0.36,,-0.24,,-0.57,1,Yong+2013,YON13,VMP,,,5.99,5.99,-2.44,-2.44,-3.04,,-3.3699999999999997,,0.32999999999999996
G 64-37,6318,4.16,0.34,-3.12,,,0.25,0.0,0.25,,,,,1,Simmerer+2004,SIM04,EMP,,,5.56,5.56,-2.87,-2.87,,,,,
G 77-61,4000,5.0,-1.3,-4.03,,2.48,2.49,0.0,2.49,,,1.0,,1,Masseron+2012,MAS12,UMP,,NO,6.89,6.89,-1.54,-1.54,,,,-3.0300000000000002,
HD 2796,4923,1.84,2.22,-2.31,,0.85,-0.5,0.17,-0.33,,0.33,,-0.14,1,Yong+2013,YON13,VMP,,,5.62,5.79,-2.81,-2.64,-1.98,,-2.45,,0.47000000000000003
HD 3008,4250,1.03,2.78,-2.08,,,-0.29,0.65,0.36,,,,0.08,1,Simmerer+2004,SIM04,VMP,,,6.06,6.71,-2.37,-1.7200000000000002,,,-2.0,,
HD 4306,4854,1.61,2.43,-3.04,,,0.11,0.31,0.42,,-0.07,,-1.17,1,Yong+2013,YON13,EMP,,,5.5,5.81,-2.93,-2.62,-3.11,,-4.21,,1.0999999999999999
HD 5426,4910,1.9,2.16,-2.39,,,-0.04,0.12,0.08,,0.24,,-0.14,1,McWilliam+1995,MCW95,VMP,,,6.0,6.12,-2.43,-2.31,-2.1500000000000004,,-2.5300000000000002,,0.38
HD 6268,4696,1.23,2.75,-2.74,,,-0.67,0.68,0.01,,0.11,,-0.04,1,Yong+2013,YON13,VMP,,,5.02,5.7,-3.41,-2.7300000000000004,-2.6300000000000003,,-2.7800000000000002,,0.15
HD 13979,4970,1.15,2.93,-2.63,,,-0.5,0.7,0.2,,-0.91,,-0.73,1,McWilliam+1995,MCW95,VMP,,,5.3,6.0,-3.13,-2.4299999999999997,-3.54,,-3.36,,-0.18000000000000005
HD 23798,4450,1.06,2.83,-2.26,,,-0.59,0.74,0.15,,,,,1,Simmerer+2004,SIM04,VMP,,,5.58,6.32,-2.8499999999999996,-2.11,,,,,
HD 26169,4750,1.35,2.65,-2.8,,-0.45,0.15,0.54,0.69,,0.44,,-0.5,1,Roederer+2014,ROE14,VMP,,,5.78,6.32,-2.65,-2.11,-2.36,,-3.3,,0.94
HD 29574,4250,0.8,3.01,-2.0,,,-0.69,0.71,0.02,,,,0.59,1,Simmerer+2004,SIM04,VMP,,,5.74,6.45,-2.69,-1.98,,,-1.4100000000000001,,
HD 85773,4268,0.87,2.95,-2.62,,,-0.49,0.75,0.26,,,,-0.49,1,Simmerer+2004,SIM04,VMP,,,5.32,6.07,-3.1100000000000003,-2.3600000000000003,,,-3.1100000000000003,,
HD 88609,4541,0.8,3.12,-2.98,,,-0.51,0.75,0.24,,-0.01,,-1.05,1,Yong+2013,YON13,VMP,,,4.94,5.69,-3.49,-2.74,-2.9899999999999998,,-4.03,,1.04
HD 103036,4200,1.14,2.65,-2.04,,,-0.39,0.63,0.24,,,,,1,Simmerer+2004,SIM04,VMP,,,6.0,6.63,-2.43,-1.8,,,,,
HD 103545,4666,1.64,2.33,-2.45,,,-0.44,0.37,-0.07,,,,-0.04,1,Simmerer+2004,SIM04,VMP,,,5.54,5.91,-2.89,-2.52,,,-2.49,,
HD 107752,4649,1.63,2.34,-2.78,,,-0.59,0.32,-0.27,,,,-0.24,1,Simmerer+2004,SIM04,VMP,,,5.06,5.38,-3.3699999999999997,-3.05,,,-3.0199999999999996,,
HD 108317,5234,2.68,1.49,-2.18,,,-0.09,0.01,-0.08,,,,0.58,1,Simmerer+2004,SIM04,VMP,,,6.16,6.17,-2.27,-2.2600000000000002,,,-1.6,,
HD 110184,4250,0.79,3.02,-2.72,,,-0.34,0.75,0.41,,-0.02,,-0.01,1,Simmerer+2004,SIM04,VMP,,,5.37,6.12,-3.06,-2.31,-2.74,,-2.73,,-0.01
HD 115444,4711,1.23,2.76,-2.65,,,-0.41,0.66,0.25,,0.32,,0.14,1,Yong+2013,YON13,VMP,,,5.37,6.03,-3.06,-2.4,-2.33,,-2.51,,0.18
HD 119516,5382,2.47,1.75,-2.11,,,-1.19,0.01,-1.18,,,,,1,Simmerer+2004,SIM04,VMP,,,5.13,5.14,-3.3,-3.29,,,,,
HD 122563,4843,1.62,2.42,-2.54,,0.7,-0.44,0.36,-0.08,,-0.38,,-1.12,1,Yong+2013,YON13,VMP,,,5.45,5.81,-2.98,-2.62,-2.92,,-3.66,,0.7400000000000001
HD 126587,4853,1.61,2.43,-3.0,,,0.19,0.31,0.5,,-0.09,,-0.1,1,Yong+2013,YON13,EMP,,,5.62,5.93,-2.81,-2.5,-3.09,,-3.1,,0.010000000000000009
HD 128279,5050,2.15,1.96,-2.52,,-0.39,0.08,0.01,0.09,,-0.51,,-0.64,1,Roederer+2014,ROE14,VMP,,,5.99,6.0,-2.44,-2.43,-3.0300000000000002,,-3.16,,0.13
HD 135148,4183,1.24,2.54,-2.17,,,0.76,0.34,1.1,,,,0.3,1,Simmerer+2004,SIM04,VMP,,CE,7.02,7.36,-1.41,-1.0699999999999998,,,-1.8699999999999999,,
HD 140283,5711,3.53,0.79,-2.56,,,0.28,0.0,0.28,,-0.05,,-0.94,1,Yong+2013,YON13,VMP,,,6.15,6.15,-2.2800000000000002,-2.2800000000000002,-2.61,,-3.5,,0.8899999999999999
HD 165195,4237,0.78,3.02,-2.6,,,-0.54,0.75,0.21,,0.11,,0.23,1,Simmerer+2004,SIM04,VMP,,,5.29,6.04,-3.14,-2.39,-2.49,,-2.37,,-0.12000000000000001
HD 178443,5180,1.65,2.5,-2.05,,,-0.28,0.35,0.07,,0.27,,0.01,1,McWilliam+1995,MCW95,VMP,,,6.1,6.45,-2.33,-1.9799999999999998,-1.7799999999999998,,-2.04,,0.26
HD 186478,4629,1.07,2.89,-2.68,,0.62,-0.28,0.73,0.45,,0.32,,-0.04,1,Yong+2013,YON13,VMP,,,5.47,6.2,-2.96,-2.23,-2.3600000000000003,,-2.72,,0.36
HD 200654,5160,2.55,1.6,-2.8,,,0.27,0.01,0.28,,-0.44,,-0.83,1,McWilliam+1995,MCW95,VMP,,,5.9,5.91,-2.53,-2.5199999999999996,-3.2399999999999998,,-3.63,,0.38999999999999996
HD 214925,4050,0.3,3.43,-2.03,,,-0.85,0.74,-0.11,,,,,1,Aoki+2008,AOK08,VMP,,,5.55,6.29,-2.88,-2.1399999999999997,,,,,
HD 215801,6005,3.81,0.6,-2.29,,,0.04,0.0,0.04,,,,,1,Akerman+2004,AKE04,VMP,,,6.18,6.18,-2.25,-2.25,,,,,
HD 216143,4450,0.8,3.09,-2.27,,,-0.41,0.73,0.32,,0.21,,-0.27,1,Aoki+2008,AOK08,VMP,,,5.75,6.48,-2.68,-1.95,-2.06,,-2.54,,0.48
HD 237846,4600,1.0,2.95,-3.29,,,0.17,0.75,0.92,,,,,1,Roederer+2010,ROE10,EMP,,CE,5.31,6.06,-3.12,-2.37,,,,,
HD 340279,6273,4.25,0.24,-2.62,,,0.17,0.0,0.17,,,,,1,Akerman+2004,AKE04,VMP,,,5.98,5.98,-2.45,-2.45,,,,,
HE 0005-0002,4726,1.58,2.41,-3.06,,,0.13,0.32,0.45,,0.29,,-0.03,1,Barklem+2005,BAR05,EMP,,,5.5,5.82,-2.93,-2.61,-2.77,,-3.09,,0.31999999999999995
HE 0007-1832,6500,3.8,0.75,-2.79,,2.11,2.66,0.0,2.66,,0.22,,0.09,1,Cohen+2013,COH13,VMP,,CE,8.3,8.3,-0.1299999999999999,-0.1299999999999999,-2.57,,-2.7,,0.13
HE 0008-3842,4327,0.65,3.19,-3.33,,,-0.93,0.73,-0.2,,-1.4,,-1.8,1,Barklem+2005,BAR05,EMP,,,4.17,4.9,-4.26,-3.5300000000000002,-4.73,,-5.13,,0.40000000000000013
HE 0009-6039,5250,2.7,1.48,-3.29,,,0.16,0.01,0.17,,,,-1.11,1,Cohen+2013,COH13,EMP,,,5.3,5.31,-3.13,-3.12,,,-4.4,,
HE 0011-0035,4950,1.8,2.27,-2.99,,,0.0,0.12,0.12,,,,-0.27,1,Cohen+2013,COH13,VMP,,,5.44,5.56,-2.99,-2.87,,,-3.2600000000000002,,
HE 0013-0257,4500,0.5,3.41,-3.82,,,-0.22,0.69,0.47,,,,-1.16,1,Hollek+2011,HOL11,EMP,,,4.39,5.08,-4.04,-3.3499999999999996,,,-4.9799999999999995,,
HE 0013-0522,4900,1.7,2.36,-3.24,,,0.22,0.15,0.37,,,,-0.89,1,Hollek+2011,HOL11,EMP,,,5.41,5.56,-3.02,-2.87,,,-4.13,,
HE 0015+0048,4600,0.9,3.05,-3.07,,,0.62,0.67,1.29,,,,-1.17,1,Hollek+2011,HOL11,EMP,,NO,5.98,6.65,-2.4499999999999997,-1.7799999999999998,,,-4.24,,
HE 0017-4838,5149,2.23,1.91,-3.23,,,-0.33,0.0,-0.33,,0.78,,-0.83,1,Barklem+2005,BAR05,EMP,,,4.87,4.87,-3.56,-3.56,-2.45,,-4.06,,1.6099999999999999
HE 0018-1349,5719,4.62,-0.29,-2.27,,,0.32,0.0,0.32,,0.05,,0.43,1,Barklem+2005,BAR05,VMP,,,6.48,6.48,-1.95,-1.95,-2.22,,-1.84,,-0.38
HE 0023-4825,5816,3.63,0.72,-2.06,,,0.27,0.0,0.27,,0.08,,-0.11,1,Barklem+2005,BAR05,VMP,,,6.64,6.64,-1.79,-1.79,-1.98,,-2.17,,0.19
HE 0029-1839,5010,2.19,1.91,-2.5,,,0.27,0.01,0.28,,0.13,,-1.35,1,Barklem+2005,BAR05,VMP,,,6.2,6.21,-2.23,-2.2199999999999998,-2.37,,-3.85,,1.48
HE 0037-0348,4920,1.8,2.26,-3.15,,0.92,0.12,0.1,0.22,,,,-0.52,1,Cohen+2013,COH13,EMP,,,5.4,5.5,-3.03,-2.9299999999999997,,,-3.67,,
HE 0037-2657,4982,2.21,1.88,-3.22,,,0.27,0.01,0.28,,-0.54,,-1.14,1,Barklem+2005,BAR05,EMP,,,5.48,5.49,-2.95,-2.9400000000000004,-3.7600000000000002,,-4.36,,0.5999999999999999
HE 0039-4154,4784,1.5,2.52,-3.18,,,0.06,0.38,0.44,,-0.14,,0.02,1,Cohen+2013,COH13,EMP,,,5.31,5.69,-3.12,-2.74,-3.3200000000000003,,-3.16,,-0.16
HE 0043-2845,5517,4.42,-0.16,-2.91,,,0.15,0.0,0.15,,-0.67,,,1,Barklem+2005,BAR05,VMP,,,5.67,5.67,-2.7600000000000002,-2.7600000000000002,-3.58,,,,
HE 0044-2459,5242,2.92,1.25,-3.28,,,0.41,0.0,0.41,,-1.55,,,1,Barklem+2005,BAR05,EMP,,,5.56,5.56,-2.8699999999999997,-2.8699999999999997,-4.83,,,,
HE 0044-4023,5694,3.26,1.06,-2.56,,,0.36,0.0,0.36,,0.03,,-0.4,1,Barklem+2005,BAR05,VMP,,,6.23,6.23,-2.2,-2.2,-2.5300000000000002,,-2.96,,0.43000000000000005
HE 0048-0611,5180,2.5,1.65,-2.66,,0.13,0.37,0.01,0.38,,,,-0.43,1,Cohen+2013,COH13,VMP,,,6.14,6.15,-2.29,-2.2800000000000002,,,-3.0900000000000003,,
HE 0048-6408,4360,0.35,3.5,-3.76,,,-0.3,0.69,0.39,,-0.82,,-1.37,1,Placco+2014a,PLA4a,EMP,,,4.37,5.06,-4.06,-3.3699999999999997,-4.58,,-5.13,,0.5500000000000002
HE 0049-5700,5952,4.08,0.31,-2.4,,,0.35,0.0,0.35,,0.19,,-0.47,1,Barklem+2005,BAR05,VMP,,,6.38,6.38,-2.05,-2.05,-2.21,,-2.87,,0.6599999999999999
HE 0051-2304,4537,1.22,2.7,-2.44,,,-0.68,0.69,0.01,,0.03,,-0.11,1,Barklem+2005,BAR05,VMP,,,5.31,6.0,-3.12,-2.43,-2.41,,-2.55,,0.14
HE 0054-0657,5908,4.4,-0.02,-2.0,,,0.25,0.0,0.25,,0.05,,-0.13,1,Barklem+2005,BAR05,VMP,,,6.68,6.68,-1.75,-1.75,-1.95,,-2.13,,0.18
HE 0055-2314,6290,4.4,0.09,-2.66,,,0.72,0.0,0.72,,,,-0.49,1,Cohen+2013,COH13,VMP,,NO,6.49,6.49,-1.9400000000000002,-1.9400000000000002,,,-3.1500000000000004,,
HE 0057-4541,5083,2.55,1.57,-2.31,,,0.13,0.01,0.14,,0.16,,-0.16,1,Barklem+2005,BAR05,VMP,,,6.25,6.26,-2.18,-2.17,-2.15,,-2.47,,0.32
HE 0057-5959,5257,2.65,1.53,-4.08,,2.15,0.86,0.0,0.86,,,,-0.46,1,Yong+2013,YON13,UMP,,NO,5.21,5.21,-3.22,-3.22,,,-4.54,,
HE 0102-0633,6012,3.7,0.71,-3.1,,,0.87,0.0,0.87,,-0.41,,-0.54,1,Cohen+2013,COH13,EMP,,NO,6.2,6.2,-2.23,-2.23,-3.5100000000000002,,-3.64,,0.13000000000000006
HE 0102-1213,6100,3.65,0.79,-3.28,,,1.31,0.0,1.31,,,-0.64,,1,Yong+2013,YON13,EMP,,NO,6.46,6.46,-1.9699999999999998,-1.9699999999999998,,,,-3.92,
HE 0103-0357,5406,3.2,1.03,-3.15,,-0.03,0.52,0.0,0.52,,,,-0.87,1,Cohen+2013,COH13,EMP,,,5.8,5.8,-2.63,-2.63,,,-4.02,,
HE 0104-4007,5154,2.64,1.5,-3.3,,,0.46,0.01,0.47,,-0.88,,-0.69,1,Barklem+2005,BAR05,EMP,,,5.59,5.6,-2.84,-2.83,-4.18,,-3.9899999999999998,,-0.19000000000000006
HE 0104-5300,4732,1.43,2.57,-3.31,,,-0.05,0.45,0.4,,-0.49,,-1.57,1,Barklem+2005,BAR05,EMP,,,5.07,5.52,-3.36,-2.91,-3.8,,-4.88,,1.08
HE 0105-6141,5218,2.83,1.34,-2.55,,,0.16,0.01,0.17,,0.08,,0.13,1,Barklem+2005,BAR05,VMP,,,6.04,6.05,-2.3899999999999997,-2.38,-2.4699999999999998,,-2.42,,-0.05
HE 0107-5240,5100,2.2,1.93,-5.54,,2.43,3.85,0.06,3.91,-0.2,,0.82,,1,Yong+2013,YON13,HMP,,NO,6.74,6.8,-1.69,-1.63,,-5.74,,-4.72,
HE 0109-0742,5315,1.85,2.35,-2.52,,,-0.18,0.15,-0.03,,0.07,,-0.22,1,Barklem+2005,BAR05,VMP,,,5.73,5.88,-2.7,-2.55,-2.45,,-2.74,,0.29000000000000004
HE 0111-1454,4632,1.05,2.91,-2.99,,,-0.26,0.74,0.48,,-0.03,,-0.75,1,Barklem+2005,BAR05,VMP,,,5.18,5.92,-3.25,-2.5100000000000002,-3.02,,-3.74,,0.72
HE 0121-2826,4955,1.99,2.09,-2.97,,,0.46,0.03,0.49,,0.37,,-0.64,1,Barklem+2005,BAR05,VMP,,,5.92,5.95,-2.5100000000000002,-2.4800000000000004,-2.6,,-3.6100000000000003,,1.01
HE 0122-1616,5215,2.5,1.66,-2.8,,,0.31,0.01,0.32,,,,-1.07,1,Cohen+2013,COH13,VMP,,,5.94,5.95,-2.4899999999999998,-2.48,,,-3.87,,
HE 0130-1749,4820,1.6,2.43,-3.34,,,0.4,0.32,0.72,,,,-0.72,1,Cohen+2013,COH13,EMP,,NO,5.49,5.81,-2.94,-2.62,,,-4.06,,
HE 0131-2740,5351,3.03,1.18,-3.08,,,0.31,0.0,0.31,,,,,1,Barklem+2005,BAR05,EMP,,,5.66,5.66,-2.77,-2.77,,,,,
HE 0132-2429,5294,2.75,1.44,-3.6,,1.22,0.83,0.01,0.84,,0.13,,-0.85,1,Cohen+2008,COH08,EMP,,NO,5.66,5.67,-2.77,-2.7600000000000002,-3.47,,-4.45,,0.98
HE 0132-2439,5249,2.63,1.55,-3.79,,1.07,0.62,0.01,0.63,,,,-0.88,1,Yong+2013,YON13,EMP,,,5.26,5.27,-3.17,-3.16,,,-4.67,,
HE 0134-1519,5525,3.17,1.1,-3.98,-0.2,,1.0,0.0,1.0,,,-0.81,,1,Hansen+2014,HAN14,EMP,,NO,5.45,5.45,-2.98,-2.98,,,,-4.79,
HE 0139-2826,4900,1.5,2.56,-3.46,,0.03,0.48,0.38,0.86,,-1.51,,-1.22,1,Placco+2014a,PLA4a,EMP,,NO,5.45,5.83,-2.98,-2.6,-4.97,,-4.68,,-0.29000000000000004
HE 0143-1135,5629,4.53,-0.23,-2.13,,,0.19,0.0,0.19,,-0.1,,-0.13,1,Barklem+2005,BAR05,VMP,,,6.49,6.49,-1.94,-1.94,-2.23,,-2.26,,0.03
HE 0143-4108,5121,2.41,1.72,-2.62,,,0.12,0.01,0.13,,-0.84,,-1.23,1,Barklem+2005,BAR05,VMP,,,5.93,5.94,-2.5,-2.49,-3.46,,-3.85,,0.39
HE 0143-4146,4799,1.5,2.52,-2.95,,,0.07,0.41,0.48,,-0.52,,-0.84,1,Barklem+2005,BAR05,VMP,,,5.55,5.96,-2.8800000000000003,-2.47,-3.47,,-3.79,,0.31999999999999995
HE 0146-1548,4636,0.99,2.97,-3.46,,,0.84,0.73,1.57,,,,-0.71,1,Yong+2013,YON13,EMP,,NO,5.81,6.54,-2.62,-1.89,,,-4.17,,
HE 0157-3335,4775,1.62,2.39,-3.08,,,-0.26,0.29,0.03,,0.15,,-0.46,1,Barklem+2005,BAR05,EMP,,,5.09,5.38,-3.34,-3.0500000000000003,-2.93,,-3.54,,0.61
HE 0200-0955,5216,2.57,1.6,-2.47,,,0.37,0.01,0.38,,-0.26,,-0.73,1,Barklem+2005,BAR05,VMP,,,6.33,6.34,-2.1,-2.0900000000000003,-2.7300000000000004,,-3.2,,0.47
HE 0226+0103,5250,2.7,1.48,-2.81,,0.88,0.04,0.01,0.05,,,,0.12,1,Cohen+2013,COH13,VMP,,,5.66,5.67,-2.77,-2.7600000000000002,,,-2.69,,
HE 0233-0343,6075,3.4,1.03,-4.68,1.2,,3.32,0.0,3.32,,,0.7,,1,Hansen+2014,HAN14,UMP,,NO,7.07,7.07,-1.3599999999999999,-1.3599999999999999,,,,-3.9799999999999995,
HE 0240-0807,4729,1.54,2.46,-2.68,,,-0.39,0.42,0.03,,0.01,,0.16,1,Barklem+2005,BAR05,VMP,,,5.36,5.78,-3.0700000000000003,-2.6500000000000004,-2.6700000000000004,,-2.52,,-0.15
HE 0240-6105,4720,1.26,2.73,-3.23,,,-0.29,0.59,0.3,,0.46,,-0.73,1,Barklem+2005,BAR05,EMP,,,4.91,5.5,-3.52,-2.93,-2.77,,-3.96,,1.19
HE 0243-0753,5066,2.29,1.82,-2.49,,,0.25,0.01,0.26,,-0.28,,-1.07,1,Barklem+2005,BAR05,VMP,,,6.19,6.2,-2.24,-2.2300000000000004,-2.7700000000000005,,-3.5600000000000005,,0.79
