JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
754,2,AND10,Andrievsky+2010,CS29495-041,2MASS_J21363327-2818485,,,,VMP,,,RG,21:36:33.28,-28:18:48.56,324.13866,-28.31349,77.0,1992AJ....103.1987B,14.111,14.15,13.34,12.7,12.222,11.607,11.116,11.024,4800.0,1.5,-2.82,1.8,,,,,,,,5.23,,,,,2.91,,,,,,,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,1,CAY04,Cayrel+2004,CS29495-041,2MASS_J21363327-2818485,,RL,,VMP,alpha,,RG,21:36:33.28,-28:18:48.56,324.13866,-28.31349,77.0,1992AJ....103.1987B,14.111,14.15,13.34,12.7,12.222,11.607,11.116,11.024,4800.0,1.5,-2.8,1.8,0.38,,5.63,5.5,6.6,,3.75,5.09,2.99,5.3,,,,3.92,0.46,2.44,,2.5,2.08,4.69,2.32,3.38,,1.93,,,,,,0,-0.99,-0.26,,,,,,,,,,-1.34,-2.1,-1.24,-2.25,-1.04,-1.81,-2.4,-1.95,,-1.68,-2.56,-1.85,,,,,,,,,,,,,,,,,,,,,
756,2,SPI12,Spite+2012,CS29495-041,2MASS_J21363327-2818485,,,,VMP,,,RG,21:36:33.28,-28:18:48.56,324.13866,-28.31349,77.0,1992AJ....103.1987B,14.111,14.15,13.34,12.7,12.222,11.607,11.116,11.024,4800.0,1.5,-2.82,1.8,,,,,,,,,,,,,,4.05,,,,,,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,1,BAR05,Barklem+2005,HE2134+0001,2MASS_J21370818+0015045,,R1,,VMP,,,RG,21:37:08.19,+00:15:04.61,324.28412,0.25128,48.0,2005A&A...439..129B,,16.3,15.792,15.3,14.923,14.352,13.85,13.809,5257.0,3.0,-2.22,1.55,,,6.38,,,,,5.75,3.42,,,,,4.54,1,3.04,1.78,3.48,2.89,5.28,2.85,3.87,,,,,,,,0.67,-0.22,0.76,,,,,,,,,,-0.51,,,,,,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,
758,2,REN12,Ren+2012,HE2134+0001,2MASS_J21370818+0015045,,,,VMP,,,RG,21:37:08.19,+00:15:04.61,324.28412,0.25128,48.0,2005A&A...439..129B,,16.3,15.792,15.3,14.923,14.352,13.85,13.809,5257.0,3.0,-2.22,1.55,,,6.53,,,,,,,,,,,,,,,,,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.24,,,,,,,,,,,,,,,,,,-1.36,,,,,,,,
759,2,AOK02a,Aoki+2002a,CS22948-027,2MASS_J21374577-3927223,,,CE,VMP,,HA,RG,21:37:45.77,-39:27:22.32,324.44072,-39.4562,-77.0,1992AJ....103.1987B,,13.79,12.66,12.16,11.76,10.979,10.534,10.427,4600.0,1.0,-2.57,2.2,<1,,7.95,7.15,,,4.44,5.6,,,,,,4.32,,3.07,,3.32,,4.93,,,,,,,,,,,0.47,,,,,,,,,,,1.41,0.51,1,,0.62,,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,Abdu
760,2,AOK07a,Aoki+2007a,CS22948-027,2MASS_J21374577-3927223,,,CE,VMP,,,RG,21:37:45.77,-39:27:22.32,324.44072,-39.4562,-77.0,1992AJ....103.1987B,,13.79,12.66,12.16,11.76,10.979,10.534,10.427,5000.0,1.9,-2.3,2.0,,,8.3,8,,,4.88,5.87,,,,,,4.67,,3.37,,3.31,,5.24,,,,2.69,,,,,,,,,,,,,,,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,1,BAB05,Barbuy+2005,CS22948-027,2MASS_J21374577-3927223,,RS,CE,VMP,,,RG,21:37:45.77,-39:27:22.32,324.44072,-39.4562,-77.0,1992AJ....103.1987B,,13.79,12.66,12.16,11.76,10.979,10.534,10.427,4800.0,1.8,-2.47,1.5,,,8.49,7.21,,,4.43,5.42,3.85,,,,,4.43,,3.05,,3.05,,5.03,,3.77,,2.49,,,,,,1.35,0.87,,,,,,,,,,,1.92,1.02,1.31,0.08,1.25,,-0.08,,,0.27,,,,,,,,,,,,,2.2,,,,,,,,,,
762,2,PRE01,Preston+2001,CS22948-027,2MASS_J21374577-3927223,,,CE,VMP,,,RG,21:37:45.77,-39:27:22.32,324.44072,-39.4562,-77.0,1992AJ....103.1987B,,13.79,12.66,12.16,11.76,10.979,10.534,10.427,4600.0,0.8,-2.6,2.3,,,7.83,6.23,,,4.28,5.14,,,,,,,,2.38,,,,4.71,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,1,ROE14b,Roederer+2014b,CS29495-042,2MASS_J21391140-2817544,,S,CE,VMP,,,RG,21:39:11.40,-28:17:54.46,324.7975,-28.29846,-80.0,1992AJ....103.1987B,,14.32,13.68,13.192,12.782,12.346,11.908,11.87,5180.0,2.55,-2.18,1.45,0.92,,6.96,7.35,7.21,,4.02,5.44,,,,,,4.32,1,2.58,,2.85,2.61,4.96,2.19,3.71,,2.49,,,,,3.43,1.25,0.41,1.19,,,,,,,,,,1.43,0.03,0.64,-0.47,0.34,-0.28,-1.41,,,-0.47,,-0.39,,-0.18,,-0.49,,,,,,,1.58,,,,,3.08,,3.84,2.61,5.32,
764,1,HOL11,Hollek+2011,HE2138-0314,2MASS_J21404159-0301171,,R2,NO,EMP,alpha,,RG,21:40:41.59,-03:01:17.11,325.17329,-3.02142,-373.5,2011ApJ...742...54H,,14.1,,13.2,,11.844,11.423,11.346,5015.0,1.9,-3.29,1.75,0.41,,5.92,,,,,4.8,2.46,4.71,,,,3.39,-0.09,1.99,,2.1,1.74,4.21,1.95,2.92,,1.81,,,,,,-0.52,-1.03,-0.06,,,,,,,,,,-1.96,-1.35,,,,,-1.76,,,,,,,,,,,,,,,,,,,,,1.86,,,,,
765,1,BAR05,Barklem+2005,HE2139-1851,2MASS_J21422951-1837506,,,,EMP,,,RG,21:42:29.51,-18:37:50.66,325.62296,-18.63074,-91.6,2005A&A...439..129B,,14.2,14.114,13.8,13.144,12.58,12.104,12.013,4925.0,1.86,-3.25,1.78,,,5.64,,,,,4.7,2.31,,,,,3.44,-0.02,2.04,,2.01,1.23,4.26,1.92,2.95,,,,,,,,0.02,-1.06,,,,,,,,,,,-2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,1,PRE06,Preston+2006,CS22944-039,2MASS_J21451226-1441248,,RL,,VMP,alpha,,RG,21:45:12.27,-14:41:24.83,326.30111,-14.69023,-253.0,1992AJ....103.1987B,,14.85,14.3,,,12.976,12.616,12.5,5350.0,1.5,-2.3,2.25,,,5.8,,,,4.43,5.56,3.21,5.57,,,,4.33,0.69,2.78,1.74,3.08,2.24,5.09,2.49,,,,,,,,,0.93,-0.47,0.59,,,,,,,,,,-0.42,-1.17,,,,,-1.71,,,,,,,,,,,,,,,,,,,,,,,,,,
767,1,BAR05,Barklem+2005,CS30343-063,2MASS_J21451750-3722185,,,,VMP,,,RG,21:45:17.50,-37:22:18.59,326.32292,-37.37183,-59.4,2005A&A...439..129B,,14.04,12.99,12.375,11.774,10.947,10.364,10.235,4412.0,0.83,-2.95,2.26,,,4.75,,,,,5.06,2.84,,,,,3.63,0.19,2.21,,2.07,1.78,4.53,1.77,3.45,,,,,,,,-0.05,-0.79,-0.11,,,,,,,,,,-1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,1,BAR05,Barklem+2005,HE2143+0030,2MASS_J21461207+0044457,,,,VMP,,,RG,21:46:12.07,+00:44:45.71,326.55031,0.74603,-76.2,2005A&A...439..129B,,16.436,15.506,14.912,14.366,13.561,12.922,12.842,4688.0,1.5,-2.43,1.91,,,5.6,,,,,5.37,3.33,,,,,4.04,0.66,2.7,1.38,2.99,2.62,5.07,2.41,3.98,,2.45,,,,,,0.45,-0.57,0.21,,,,,,,,,,-0.68,,,,,,-1.93,,,,,,,,,,,,,,,,,,,,,,,,,,
769,1,PRE00,Preston+2000,CS22948-079,2MASS_J21472920-3925192,,,,MP,,,MS,21:47:29.21,-39:25:19.27,326.8717,-39.42202,-55.0,1992AJ....103.1987B,,14.07,13.72,13.5,,12.844,12.635,12.618,6700.0,4.2,-1.63,2.5,,,,,,,,6.19,,,,,,4.99,1.7,3.76,,3.96,3.24,5.89,,,,,,,,,,1.23,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,2,LAI07,Lai+2007,CS22944-032,2MASS_J21474322-1340227,,R1,NO,VMP,,,SG,21:47:43.23,-13:40:22.80,326.93013,-13.673,30.0,1992AJ....103.1987B,,13.87,13.28,,,11.806,11.428,11.324,5528.0,3.44,-2.64,,,,6.57,,,,,,,,,,,,,,,,,4.86,,,,,,,,,,0.7,-1.1,-0.39,,,,,,,,,,-1.53,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
771,2,LAI08,Lai+2008,CS22944-032,2MASS_J21474322-1340227,,R1,,VMP,,,RG,21:47:43.23,-13:40:22.80,326.93013,-13.673,30.0,1992AJ....103.1987B,,13.87,13.28,,,11.806,11.428,11.324,5300.0,2.87,-3.0,1.5,,,5.85,4.5,6.6,,,4.99,2.65,,,,,3.67,0.24,2.34,1.12,2.38,1.97,4.53,2.39,3.37,,1.87,,,,,,-0.34,-1.1,-0.39,,,,,,,,,,-1.53,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
772,1,ROE14b,Roederer+2014b,CS22944-032,2MASS_J21474322-1340227,,,,EMP,,,RG,21:47:43.23,-13:40:22.80,326.93013,-13.673,30.0,1992AJ....103.1987B,,13.87,13.28,,,11.806,11.428,11.324,5090.0,2.3,-3.15,1.45,1,,5.49,4.7,6.26,,,4.93,2.41,5.13,,,,3.58,-0.05,2.01,0.82,2.29,1.98,4.28,1.95,3.31,,1.65,,,,,1.95,-0.55,-1.5,-0.63,0.5,-0.24,,,,,,1.2,,-1.95,-1.81,-1.23,-1.73,-1.57,-1.28,-2.78,-1.04,-0.83,-1.93,-1.29,-1.61,-1.91,-2.85,,-0.75,,,0.25,,,,0.71,,-1.69,,,2.01,0.91,2.59,1.96,4.35,
773,1,BAR05,Barklem+2005,HE2145-3025,2MASS_J21484333-3011082,,,,VMP,,,HB,21:48:43.33,-30:11:08.30,327.18056,-30.18564,131.4,2005A&A...439..129B,,15.402,14.879,15.3,14.155,13.745,13.375,13.343,5608.0,2.22,-2.69,2.47,,,,,,,,5.25,3.04,,,,,4.02,0.65,2.67,,2.8,,4.81,,3.49,,,,,,,,0.74,,,,,,,,,,,,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,1,PRE00,Preston+2000,CS22948-068,2MASS_J21490692-3727524,,,,MP,,,MS,21:49:06.93,-37:27:52.49,327.27886,-37.46458,79.0,1992AJ....103..267B,13.95,14.09,13.77,,,13.044,12.858,12.78,7200.0,4.5,-1.37,2.5,,,,,,,,6.76,,,,,,5.33,1.61,4.01,,4.42,3.59,6.15,,,,,,,,,,1.68,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,2,COH03,Cohen+2003,HE2148-1247,2MASS_J21511791-1233417,,RS,CE,VMP,,,SG,21:51:17.92,-12:33:41.80,327.82467,-12.56161,40.9,2013ApJ...778...56C,,15.2,14.79,,,13.774,13.521,13.489,6380.0,3.9,-2.5,1.7,,,8.08,7.25,,,,5.72,3.39,5.92,,,,4.49,1.42,3.2,,3.01,2.46,5.13,2.81,3.99,,,,,,,,1.34,0.75,1.75,,,,,,,,,,2.17,1.1,1.51,0.91,1.45,0.67,0.17,1.04,,0.95,,,,,,,,,,,,,2.8,,-0.5,,,,,,,,
776,1,COH13,Cohen+2013,HE2148-1247,2MASS_J21511791-1233417,,RS,CE,VMP,,,SG,21:51:17.92,-12:33:41.80,327.82467,-12.56161,40.9,2013ApJ...778...56C,,15.2,14.79,,,13.774,13.521,13.489,6380.0,3.9,-2.3,1.7,,,8.04,7.29,,,,5.66,3.99,5.92,,,,4.49,1.56,3.24,,3.01,2.46,5.2,2.81,3.99,,,,,,,,1.41,0.75,1.75,,,,,,,,,,2.17,1.13,1.54,0.85,1.42,0.68,0.17,1.04,,1,,,,,,,,,,,,,2.8,,,,,3.24,,,,5.2,
777,1,MAS12,Masseron+2012,CS22948-104,2MASS_J21514574-3752308,,,,VMP,,,RG,21:51:45.75,-37:52:30.86,327.94062,-37.87524,7.0,1992AJ....103.1987B,,14.55,13.96,13.519,13.108,12.498,12.123,12.012,5000.0,2.3,-2.76,1.6,0.92,,6.05,5.1,,,3.35,5.15,,,,,,,,,,,,4.69,,,,,,,,,,,,,,,,,,,,,,-0.85,,,,,,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
778,1,BAR05,Barklem+2005,HE2150-0825,2MASS_J21530016-0811182,,,CE,MP,,,SG,21:53:00.16,-08:11:18.28,328.25067,-8.18841,-63.3,2005A&A...439..129B,,15.0,14.959,14.5,14.316,13.859,13.628,13.524,5960.0,3.67,-1.98,1.57,,,7.76,,,,,5.95,3.4,,,,,4.83,1.41,3.35,,3.76,3.03,5.52,2.95,3.99,,,,,,,,1.64,1.1,1.59,,,,,,,,,,1.85,0.6,1.08,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,1,BAR05,Barklem+2005,HE2151-2858,2MASS_J21540157-2844199,,,,VMP,,,MS,21:54:01.58,-28:44:20.00,328.50658,-28.73889,-89.7,2005A&A...439..129B,,16.57,16.072,15.733,15.382,14.927,14.588,14.548,5598.0,4.14,-2.38,1.39,,,6.11,,,,,5.57,3.48,,,,,4.28,0.85,2.91,,3.17,2.48,5.12,2.64,3.75,,,,,,,,0.31,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,2,REN12,Ren+2012,HE2151-2858,2MASS_J21540157-2844199,,,,VMP,,,MS,21:54:01.58,-28:44:20.00,328.50658,-28.73889,-89.7,2005A&A...439..129B,,16.57,16.072,15.733,15.382,14.927,14.588,14.548,5598.0,4.14,-2.38,1.39,,,6.27,,,,,,,,,,,,,,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43,,,,,,,,
781,1,BAR05,Barklem+2005,HE2153-2719,2MASS_J21560407-2704497,,,,VMP,,,RG,21:56:04.08,-27:04:49.73,329.017,-27.08048,-111.8,2005A&A...439..129B,,15.7,15.045,14.6,14.053,13.529,13.045,12.999,4898.0,2.01,-2.49,1.8,,,6.02,,,,,5.46,3.47,,,,,4.2,0.82,2.77,1.52,3.1,2.5,5.01,2.44,3.62,,2.31,,,,,,0.48,-0.46,0.3,,,,,,,,,,-1.05,-1.42,,,-1.01,,-1.77,,,,,,,,,,,,,,,,,,,,,,,,,,
782,2,REN12,Ren+2012,HE2153-2719,2MASS_J21560407-2704497,,,,VMP,,,RG,21:56:04.08,-27:04:49.73,329.017,-27.08048,-111.8,2005A&A...439..129B,,15.7,15.045,14.6,14.053,13.529,13.045,12.999,4898.0,2.01,-2.49,1.8,,,6.18,,,,,,,,,,,,,,,,,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.77,,,,,,,,,,,,,,,,,,-2.81,,,,,,,,
783,2,LAI07,Lai+2007,CS22965-016,2MASS_J21570791-0434083,,,,VMP,,,RG,21:57:07.92,-04:34:08.36,329.28298,-4.56899,-90.0,1992AJ....103.1987B,14.86,14.81,14.05,,,12.327,11.861,11.764,4904.0,1.99,-2.59,,,,5.27,,,,,,,,,,,,,,,,,4.91,,,,,,,,,,0.4,,,,,,,,,,,,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,1,ROE14b,Roederer+2014b,CS22965-016,2MASS_J21570791-0434083,,RL,,EMP,,,RG,21:57:07.92,-04:34:08.36,329.28298,-4.56899,-90.0,1992AJ....103.1987B,14.86,14.81,14.05,,,12.327,11.861,11.764,4770.0,1.4,-2.93,1.85,0.3,,4.82,6.65,6.6,,3.25,5.07,2.8,5.11,,,2.23,3.66,0.23,2.03,0.84,2.25,1.91,4.37,1.94,3.36,,1.72,,,,,1.7,0.26,-1.03,-0.15,0.1,-0.34,,,,,,,,-1.63,-1.93,-1.49,-1.75,-1.7,-1.5,-2.65,-1.04,-1.32,-1.59,,-1.74,-1.92,,,-0.75,,,,,,,0.58,,,,,2.3,1.12,2.89,,4.57,
785,1,BAR05,Barklem+2005,HE2155+0136,2MASS_J21573755+0150201,,R1,,VMP,,,RG,21:57:37.56,+01:50:20.18,329.40648,1.83894,-248.2,2005A&A...439..129B,,16.758,16.043,15.662,15.217,14.702,14.275,14.202,5331.0,3.22,-2.07,1.23,,,6.32,,,,,5.73,3.44,,,,,4.66,1.07,3.16,,3.52,3.01,5.43,3,4.22,,,,,,,,0.78,-0.05,,,,,,,,,,,0.2,,,,,,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,
786,1,BAR05,Barklem+2005,HE2154-2838,2MASS_J21574379-2824306,,R1,,MP,,,RG,21:57:43.80,-28:24:30.71,329.43249,-28.40853,-16.9,2005A&A...439..129B,,16.281,15.59,15.24,14.802,14.184,13.793,13.711,5303.0,3.18,-1.85,1.46,,,6.58,,,,,5.91,3.96,,,,,4.78,1.51,3.39,2.13,3.83,3.26,5.65,3.18,4.19,,2.78,,,,,,1.15,0.3,1.15,,,,,,,,,,0.24,-0.55,,,,,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,
787,2,AND09,Andrievsky+2009,CS22956-050,2MASS_J21580583-6513271,,,,EMP,,,RG,21:58:05.84,-65:13:27.16,329.52433,-65.22421,2.0,1992AJ....103.1987B,,14.95,14.25,13.745,13.211,12.597,12.06,12.018,4900.0,1.7,-3.33,1.8,,,,,,,,,,,,,,,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,2,AND10,Andrievsky+2010,CS22956-050,2MASS_J21580583-6513271,,,,EMP,,,RG,21:58:05.84,-65:13:27.16,329.52433,-65.22421,2.0,1992AJ....103.1987B,,14.95,14.25,13.745,13.211,12.597,12.06,12.018,4900.0,1.7,-3.33,1.8,,,,,,,,4.59,,,,,2.2,,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,2,CAY04,Cayrel+2004,CS22956-050,2MASS_J21580583-6513271,,,,EMP,,,RG,21:58:05.84,-65:13:27.16,329.52433,-65.22421,2.0,1992AJ....103.1987B,,14.95,14.25,13.745,13.211,12.597,12.06,12.018,4900.0,1.7,-3.3,1.8,0.97,,5.46,4.9,6.53,,,4.62,2.49,5,,,,3.49,-0.2,1.98,,2.0,1.55,4.18,1.98,2.93,,1.57,,,,,,-0.78,-1.58,-0.84,,,,,,,,,,-1.98,-2.16,-1.75,-2.62,-1.83,-2.32,-2.82,-2.21,,-2.19,-3.07,-2.4,,,,,,,,,,,,,,,,,,,,,
790,1,ROE14b,Roederer+2014b,CS22956-050,2MASS_J21580583-6513271,,,,EMP,,,RG,21:58:05.84,-65:13:27.16,329.52433,-65.22421,2.0,1992AJ....103.1987B,,14.95,14.25,13.745,13.211,12.597,12.06,12.018,4640.0,1.0,-3.57,1.75,0.81,,5.02,5.5,6.34,,,4.6,2.2,4.99,,,,3.3,-0.6,1.59,0.38,1.79,1.12,3.83,1.46,2.54,,1.48,,,,,1.6,-1.24,-2.31,-1.23,0.02,-0.42,,,,,,1.05,,-2.39,,,-2.32,-1.55,,-3.24,-1.4,-1.96,-1.91,,-1.88,-1.26,-2.92,,-1.13,,,-0.52,,,,0.4,,-2.21,,,1.66,0.38,,1.09,3.93,
791,2,SPI11,Spite+2011,CS22956-050,2MASS_J21580583-6513271,,,,EMP,,,RG,21:58:05.84,-65:13:27.16,329.52433,-65.22421,2.0,1992AJ....103.1987B,,14.95,14.25,13.745,13.211,12.597,12.06,12.018,4900.0,1.7,-3.33,1.8,,,,,,,,,,,,4.45,,,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,2,SPI12,Spite+2012,CS22956-050,2MASS_J21580583-6513271,,,,EMP,,,RG,21:58:05.84,-65:13:27.16,329.52433,-65.22421,2.0,1992AJ....103.1987B,,14.95,14.25,13.745,13.211,12.597,12.06,12.018,4900.0,1.7,-3.33,1.8,,,,,,,,,,,,,,3.69,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,2,BAR05,Barklem+2005,HE2156-3130,2MASS_J21590577-3116121,,,CE,EMP,,,RG,21:59:05.77,-31:16:12.14,329.77405,-31.27004,262.0,1992AJ....103.1987B,,14.86,14.07,13.523,13.011,12.299,11.783,11.673,4692.0,1.28,-3.13,1.93,,,6,,,,,5.22,3.27,,,,,3.53,0.42,2.05,,2.17,1.71,4.37,2.04,2.91,,,,,,,,-1.06,-1.79,,,,,,,,,,,-0.48,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,2,MAS12,Masseron+2012,CS29493-090,2MASS_J21590577-3116121,,,CE,EMP,,,RG,21:59:05.77,-31:16:12.14,329.77405,-31.27004,262.0,1992AJ....103.1987B,,14.86,14.07,13.523,13.011,12.299,11.783,11.673,4700.0,0.9,-3.25,1.6,-0.2,,5.95,5.9,,,3.75,5.3,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,-0.7,,,,,,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
795,1,SPI14,Spite+2014,CS29493-090,2MASS_J21590577-3116121,,,CE,EMP,,,RG,21:59:05.77,-31:16:12.14,329.77405,-31.27004,262.0,1992AJ....103.1987B,,14.86,14.07,13.523,13.011,12.299,11.783,11.673,4700.0,1.3,-3.1,,,,6.18,6.38,,,4.36,5.46,,,,,,3.53,,2.03,,,,4.36,,,,,,,,,,-1.15,-1.68,-1,,,,,,,,,,-0.54,-1.7,-1.33,,-1.37,,-2.8,,,,,,,,,,,,,,,,0,,,,,2.09,,,,4.43,
796,2,COH06,Cohen+2006,HE2158-0348,2MASS_J22003997-0334121,,S,CE,VMP,,,RG,22:00:39.98,-03:34:12.18,330.16657,-3.57005,67.6,2013ApJ...778...56C,,15.9,15.71,14.8,14.726,14.106,13.653,13.65,5215.0,2.5,-2.7,1.6,,,7.76,6.75,,,,5.52,4.24,,,,,4.48,,2.94,,2.31,2.5,4.75,2.16,,,,,,,,,0.72,0.41,1.64,,,,,,,,,,1.02,0,0.75,,0.31,0.71,-1.38,,,,,,,,,,,,,,,,1.85,,,,,,,,,,
797,1,COH13,Cohen+2013,HE2158-0348,2MASS_J22003997-0334121,,S,CE,VMP,,,RG,22:00:39.98,-03:34:12.18,330.16657,-3.57005,67.6,2013ApJ...778...56C,,15.9,15.71,14.8,14.726,14.106,13.653,13.65,5215.0,2.5,-2.66,1.4,,,7.67,6.79,,,4.46,5.58,4.09,,,,2.76,3.81,,2.78,,2.62,2.62,4.84,2.14,,,,,,,,,0.86,0.49,1.78,,,,,,,,,,1.2,-0.06,0.85,,0.38,0.82,-1.4,,,,,,,,,,,,,,,,1.85,,,,,2.6,,,,4.81,
798,1,BAR05,Barklem+2005,HE2158-3112,2MASS_J22012150-3057575,,,,VMP,,,RG,22:01:21.51,-30:57:57.56,330.33961,-30.96599,-108.7,2005A&A...439..129B,,13.98,13.22,12.693,12.161,11.506,11.024,10.962,4843.0,1.85,-2.75,1.85,,,5.61,,,,,5.13,3.02,,,,,3.8,0.57,2.44,1.21,2.59,2.28,4.76,2.33,3.46,,2.07,,,,,,0.03,-0.79,-0.1,,,,,,,,,,-1.45,,,,,,-2.21,,,,,,,,,,,,,,,,,,,,,,,,,,
799,2,BAR05,Barklem+2005,CS30337-097,2MASS_J22012150-3057575,,,,VMP,,,RG,22:01:21.51,-30:57:57.56,330.33961,-30.96599,-108.7,2005A&A...439..129B,,13.98,13.22,12.693,12.161,11.506,11.024,10.962,4865.0,1.81,-2.73,1.88,,,5.64,,,,,5.13,3.17,,,,,3.79,0.51,2.4,,2.58,2.3,4.77,2.27,3.35,,,,,,,,0.09,-0.89,,,,,,,,,,,-1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,2,REN12,Ren+2012,CS30337-097,2MASS_J22012150-3057575,,,,VMP,,,RG,22:01:21.51,-30:57:57.56,330.33961,-30.96599,-108.7,2005A&A...439..129B,,13.98,13.22,12.693,12.161,11.506,11.024,10.962,4843.0,1.85,-2.75,1.85,,,5.76,,,,,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.22,,,,,,,,,,,,,,,,,,-2.81,,,,,,,,
801,1,HANt15,Hansen_T+2015,HE2159-0551,2MASS_J22021636-0536483,,RL,,VMP,,,RG,22:02:16.36,-05:36:48.38,330.56817,-5.61344,-92.0,2006ApJ...652.1585F,,13.3,,11.6,,10.513,9.948,9.847,4800.0,1.5,-2.8,2.1,0.44,,5.38,5.9,6.98,,3.57,5.2,2.82,4.93,,,,3.7,0.21,2.38,1.29,2.43,2.17,4.69,2.12,3.38,,2.11,,,,,,0.22,,,,,,,,,,,,-2.21,,,,,,-2.49,,,,,,,,,,,,,,,,,,,,,,,,,,
802,1,BAR05,Barklem+2005,HE2200-2030,2MASS_J22030253-2015584,,,,VMP,,,SG,22:03:02.54,-20:15:58.46,330.76058,-20.26624,89.7,2005A&A...439..129B,,15.7,15.643,15.6,14.993,14.581,14.252,14.256,5870.0,3.42,-2.0,1.64,,,6.49,,,,,5.82,,,,,,4.67,1.2,3.26,,3.58,2.96,5.5,2.89,4.08,,,,,,,,0.9,-0.06,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,1,BAR05,Barklem+2005,HE2201-0637,2MASS_J22034474-0622416,,,,VMP,,,RG,22:03:44.74,-06:22:41.70,330.93642,-6.37825,114.0,2005A&A...439..129B,,16.461,15.734,15.222,14.713,14.012,13.574,13.467,4976.0,2.21,-2.61,1.69,,,5.93,,,,,5.18,2.91,,,,,4.0,0.56,2.57,,2.82,2.11,4.91,2.35,3.64,,,,,,,,0.28,-0.64,,,,,,,,,,,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,2,AND09,Andrievsky+2009,BS17569-049,2MASS_J22045836+0401321,,,,VMP,,,RG,22:04:58.37,+04:01:32.12,331.2432,4.02559,-203.0,2000AJ....120.1516A,14.503,14.25,13.36,12.805,12.259,11.503,10.92,10.853,4700.0,1.2,-2.88,1.9,,,,,,,,,,,,,,,,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
