#pigs01
 OSMARC05 T4524.0:g1.08:z-2.80:a+0.40:he0.0 TAU_5000 Tvtvt= 2.50/H=-2.80
ALL abundances NOT listed below differ from solar by  -2.80 dex

Abundance Results for Species Fe I         (input abundance =   4.700)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4427.310   26.00000   0.052  -2.924   167.10    -4.423     4.918    0.109
  4430.614   26.00000   2.223  -1.659    80.50    -4.741     5.011    0.202
  4442.339   26.00000   2.198  -1.255    97.90    -4.657     4.920    0.111
  4443.194   26.00000   2.858  -1.043    52.60    -4.927     4.694   -0.114
  4447.717   26.00000   2.223  -1.342    93.80    -4.676     4.951    0.142
  4459.117   26.00000   2.176  -1.279   116.10    -4.584     5.268    0.459
  4859.741   26.00000   2.876  -0.764    77.10    -4.800     4.751   -0.058
  4871.318   26.00000   2.865  -0.363    93.50    -4.717     4.645   -0.163
  4872.138   26.00000   2.882  -0.567    85.80    -4.754     4.725   -0.084
  4891.492   26.00000   2.851  -0.112   130.40    -4.574     5.067    0.258
  4903.310   26.00000   2.882  -0.926    91.90    -4.727     5.188    0.379
  4918.994   26.00000   2.865  -0.342   101.90    -4.684     4.768   -0.041
  4920.502   26.00000   2.833   0.068   118.40    -4.619     4.627   -0.181
  4924.770   26.00000   2.279  -2.241    50.60    -4.988     4.949    0.140
  4938.814   26.00000   2.876  -1.077    56.70    -4.940     4.678   -0.131
  4939.687   26.00000   0.859  -3.340   104.30    -4.675     4.973    0.164
  4994.129   26.00000   0.915  -3.080   114.80    -4.639     4.952    0.143
  5001.863   26.00000   3.882   0.010    60.30    -4.919     4.953    0.144
  5006.119   26.00000   2.833  -0.638    88.70    -4.752     4.737   -0.072
  5014.942   26.00000   3.943  -0.303    38.40    -5.116     4.948    0.139
  5041.072   26.00000   0.958  -3.087   108.60    -4.667     4.892    0.083
  5041.756   26.00000   1.485  -2.203   114.40    -4.644     4.875    0.067
  5068.766   26.00000   2.940  -1.042    57.60    -4.944     4.711   -0.097
  5079.223   26.00000   2.198  -2.067    70.90    -4.855     4.965    0.157
  5079.740   26.00000   0.990  -3.220   122.80    -4.617     5.301    0.493
  5083.338   26.00000   0.958  -2.958   120.30    -4.626     4.949    0.140
  5110.413   26.00000   0.000  -3.760   150.20    -4.532     4.850    0.041
  5123.720   26.00000   1.011  -3.068    84.30    -4.784     4.526   -0.283
  5141.739   26.00000   2.424  -1.964    51.90    -4.996     4.840    0.031
  5150.839   26.00000   0.990  -3.003   113.00    -4.659     4.892    0.083
  5151.911   26.00000   1.011  -3.322   104.40    -4.693     5.092    0.283
  5162.272   26.00000   4.178   0.020    38.10    -5.132     4.895    0.086
  5166.282   26.00000   0.000  -4.195   133.70    -4.587     4.947    0.138
  5171.596   26.00000   1.485  -1.793   143.50    -4.557     4.918    0.110
  5191.455   26.00000   3.039  -0.551    85.50    -4.783     4.807   -0.002
  5192.344   26.00000   2.998  -0.421    95.10    -4.737     4.800   -0.008
  5194.941   26.00000   1.557  -2.090   115.50    -4.653     4.824    0.016
  5198.711   26.00000   2.223  -2.135    60.20    -4.936     4.867    0.058
  5215.180   26.00000   3.266  -0.871    74.50    -4.845     5.226    0.417
  5217.389   26.00000   3.211  -1.070    51.90    -5.002     4.970    0.162
  5225.526   26.00000   0.110  -4.789    70.30    -4.871     4.725   -0.083
  5232.940   26.00000   2.940  -0.058   103.60    -4.703     4.503   -0.306
  5242.491   26.00000   3.634  -0.967    31.70    -5.218     5.053    0.244
  5250.209   26.00000   0.121  -4.938    87.40    -4.779     5.122    0.313
  5254.956   26.00000   0.110  -4.764   107.20    -4.690     5.218    0.409
  5266.555   26.00000   2.998  -0.386    88.70    -4.774     4.627   -0.181
  5269.537   26.00000   0.859  -1.321   204.80    -4.410     4.502   -0.307
  5281.790   26.00000   3.039  -0.834    53.60    -4.994     4.526   -0.283
  5302.300   26.00000   3.283  -0.720    58.20    -4.960     4.804   -0.005
  5307.361   26.00000   1.608  -2.987    55.10    -4.984     4.787   -0.022
  5322.041   26.00000   2.279  -2.803    21.70    -5.390     4.897    0.088
  5324.179   26.00000   3.211  -0.103    94.60    -4.750     4.718   -0.091
  5328.039   26.00000   0.915  -1.466   195.80    -4.435     4.566   -0.243
  5328.531   26.00000   1.557  -1.850   146.30    -4.561     5.056    0.247
  5332.899   26.00000   1.557  -2.777    72.90    -4.864     4.772   -0.037
  5339.929   26.00000   3.266  -0.647    50.10    -5.028     4.570   -0.239
  5364.871   26.00000   4.446   0.228    31.50    -5.231     4.872    0.063
  5369.961   26.00000   4.371   0.536    50.30    -5.028     4.812    0.004
  5371.489   26.00000   0.958  -1.645   200.70    -4.428     4.852    0.043
  5383.369   26.00000   4.313   0.645    45.00    -5.078     4.535   -0.274
  5393.167   26.00000   3.241  -0.715    60.90    -4.947     4.770   -0.039
  5397.128   26.00000   0.915  -1.993   174.10    -4.491     4.710   -0.099
  5405.774   26.00000   0.990  -1.844   178.30    -4.482     4.734   -0.074
  5415.199   26.00000   4.387   0.642    52.70    -5.012     4.759   -0.049
  5424.068   26.00000   4.320   0.520    55.40    -4.991     4.839    0.030
  5429.696   26.00000   0.958  -1.879   179.30    -4.481     4.727   -0.081
  5434.523   26.00000   1.011  -2.122   152.80    -4.551     4.596   -0.213
  5445.042   26.00000   4.387  -0.020    20.80    -5.418     4.791   -0.018
  5446.917   26.00000   0.990  -1.914   174.30    -4.495     4.716   -0.093
  5497.516   26.00000   1.011  -2.849   136.10    -4.606     5.019    0.211
  5501.465   26.00000   0.958  -3.047   127.20    -4.636     4.991    0.182
  5506.779   26.00000   0.990  -2.797   133.60    -4.615     4.888    0.079
  5569.618   26.00000   3.417  -0.486    60.40    -4.965     4.736   -0.073
  5572.842   26.00000   3.397  -0.275    75.00    -4.871     4.735   -0.074
  5576.089   26.00000   3.430  -1.000    43.40    -5.109     4.988    0.180
  5586.755   26.00000   3.368  -0.120    79.30    -4.848     4.610   -0.199
  5615.644   26.00000   3.332   0.050    91.70    -4.787     4.604   -0.205
  5701.544   26.00000   2.559  -2.216    35.20    -5.209     4.907    0.098
  5956.694   26.00000   0.859  -4.605    32.40    -5.264     4.929    0.121
  6065.482   26.00000   2.609  -1.530    72.80    -4.921     4.823    0.014
  6136.615   26.00000   2.453  -1.400    94.80    -4.811     4.803   -0.006
  6137.691   26.00000   2.588  -1.403    82.10    -4.874     4.795   -0.014
  6151.617   26.00000   2.176  -3.299    30.90    -5.299     5.353    0.544
  6173.334   26.00000   2.223  -2.880    25.00    -5.393     4.876    0.067
  6191.558   26.00000   2.433  -1.417    95.60    -4.811     4.793   -0.016
  6213.429   26.00000   2.223  -2.482    40.30    -5.188     4.757   -0.052
  6219.280   26.00000   2.198  -2.433    53.80    -5.063     4.877    0.068
  6230.722   26.00000   2.559  -1.281   100.80    -4.791     4.902    0.094
  6246.318   26.00000   3.603  -0.733    29.10    -5.332     4.612   -0.197
  6252.555   26.00000   2.404  -1.687    81.60    -4.884     4.804   -0.005
  6265.132   26.00000   2.176  -2.550    54.20    -5.063     4.964    0.156
  6297.792   26.00000   2.223  -2.740    28.30    -5.347     4.792   -0.017
  6301.500   26.00000   3.654  -0.718    26.20    -5.381     4.598   -0.211
  6322.685   26.00000   2.588  -2.426    24.50    -5.412     4.877    0.068
  6335.330   26.00000   2.198  -2.177    65.50    -4.986     4.771   -0.038
  6393.601   26.00000   2.433  -1.432    90.90    -4.847     4.706   -0.103
  6400.000   26.00000   3.603  -0.290    57.20    -5.049     4.628   -0.181
  6408.018   26.00000   3.686  -1.018    23.10    -5.443     4.859    0.051
  6411.648   26.00000   3.654  -0.595    38.20    -5.225     4.695   -0.114
  6421.350   26.00000   2.279  -2.027    78.30    -4.914     4.900    0.091
  6430.845   26.00000   2.176  -2.006    87.70    -4.865     4.873    0.064
  6494.980   26.00000   2.404  -1.273   112.30    -4.762     4.814    0.005
  6498.938   26.00000   0.958  -4.699    21.60    -5.478     4.881    0.072
  6592.913   26.00000   2.728  -1.473    62.40    -5.024     4.705   -0.103
  6593.870   26.00000   2.433  -2.422    33.00    -5.301     4.813    0.004
  6677.985   26.00000   2.692  -1.418    78.10    -4.932     4.818    0.009
  6750.151   26.00000   2.424  -2.621    27.50    -5.390     4.882    0.073
  6978.851   26.00000   2.484  -2.500    30.70    -5.357     4.883    0.074
average abundance =  4.809     std. deviation =  0.193     #lines = 154
E.P. correlation:  slope =  -0.032  intercept =   4.882  corr. coeff. =  -0.173
R.W. correlation:  slope =  -0.005  intercept =   4.783  corr. coeff. =  -0.008
wav. correl.:  slope =   2.549D-05  intercept =   4.679  corr. coeff. =   0.104

Abundance Results for Species Fe II        (input abundance =   4.750)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4178.854   26.10000   2.583  -2.500    57.50    -4.861     4.934   -0.041
  4233.162   26.10000   2.583  -1.900    91.20    -4.667     5.106    0.132
  4923.921   26.10000   2.891  -1.320   113.70    -4.637     5.027    0.052
  5018.436   26.10000   2.891  -1.220   122.40    -4.613     5.064    0.089
  5197.567   26.10000   3.230  -2.100    44.30    -5.069     4.781   -0.194
  5234.623   26.10000   3.221  -2.230    40.70    -5.109     4.828   -0.147
  5275.997   26.10000   3.199  -1.940    55.70    -4.976     4.780   -0.194
  5534.838   26.10000   3.245  -2.730    22.30    -5.395     4.929   -0.046
  6456.379   26.10000   3.903  -2.100    26.00    -5.395     5.137    0.163
  6516.077   26.10000   2.891  -3.320    29.90    -5.338     5.160    0.185
average abundance =  4.974     std. deviation =  0.145     #lines =  10
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.009  intercept =   5.020  corr. coeff. =   0.019
wav. correl.:  slope =   5.426D-05  intercept =   4.689  corr. coeff. =   0.292

Abundance Results for Species Na I         (input abundance =   3.490)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5889.951   11.00000   0.000   0.108   218.90    -4.430     3.702    0.023
  5895.924   11.00000   0.000  -0.194   191.10    -4.489     3.656   -0.023
average abundance =  3.679     std. deviation =  0.033     #lines =   2
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Mg I         (input abundance =   4.850)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5172.684   12.00000   2.712  -0.450   230.90    -4.350     5.214   -0.117
  5183.604   12.00000   2.717  -0.239   259.70    -4.300     5.227   -0.104
  5528.405   12.00000   4.346  -0.498   101.40    -4.737     5.551    0.221
average abundance =  5.331     std. deviation =  0.191     #lines =   3
E.P. correlation:  slope =   0.203  intercept =   4.670  corr. coeff. =   0.999
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Al I         (input abundance =   3.700)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  3944.006   13.00000   0.000  -0.623   210.60    -4.272     4.271    0.000
average abundance =  4.271     std. deviation =  0.000     #lines =   1
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Si I         (input abundance =   4.760)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  3905.523   14.00000   1.909  -1.041   220.80    -4.248     5.335   -0.133
  4102.936   14.00000   1.909  -3.140   105.20    -4.591     5.602    0.133
average abundance =  5.469     std. deviation =  0.188     #lines =   2
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species K  I         (input abundance =   2.280)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  7664.899   19.00000   0.000   0.149    89.30    -4.934     2.821    0.000
average abundance =  2.821     std. deviation =  0.000     #lines =   1
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Ca I         (input abundance =   3.590)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4226.728   20.00000   0.000   0.244   243.80    -4.239     3.705   -0.301
  4283.011   20.00000   1.886  -0.136    72.10    -4.774     4.007    0.001
  4318.651   20.00000   1.899  -0.139    61.00    -4.850     3.779   -0.227
  4425.437   20.00000   1.879  -0.358    68.70    -4.809     4.074    0.068
  4435.679   20.00000   1.886  -0.517    52.80    -4.924     3.931   -0.075
  4454.779   20.00000   1.899   0.258    95.80    -4.667     4.027    0.021
  4455.887   20.00000   1.899  -0.518    58.70    -4.880     4.052    0.046
  5265.556   20.00000   2.523  -0.113    56.40    -4.970     4.203    0.197
  5588.749   20.00000   2.526   0.358    66.60    -4.924     3.851   -0.155
  5590.114   20.00000   2.521  -0.571    23.60    -5.375     4.011    0.005
  5601.277   20.00000   2.526  -0.523    25.30    -5.345     4.007    0.001
  5857.451   20.00000   2.933   0.240    32.30    -5.259     3.880   -0.127
  6102.723   20.00000   1.879  -0.793    64.20    -4.978     4.049    0.043
  6122.217   20.00000   1.886  -0.316    96.70    -4.801     4.074    0.068
  6162.173   20.00000   1.899  -0.090   115.60    -4.727     4.161    0.155
  6169.042   20.00000   2.523  -0.797    21.70    -5.454     4.138    0.131
  6169.563   20.00000   2.526  -0.478    29.40    -5.322     3.996   -0.011
  6439.075   20.00000   2.526   0.390    85.70    -4.876     3.998   -0.008
  6499.650   20.00000   2.523  -0.818    20.60    -5.499     4.106    0.100
  6717.681   20.00000   2.709  -0.524    22.20    -5.481     4.074    0.068
average abundance =  4.006     std. deviation =  0.125     #lines =  20
E.P. correlation:  slope =   0.090  intercept =   3.813  corr. coeff. =   0.447
R.W. correlation:  slope =  -0.145  intercept =   3.278  corr. coeff. =  -0.385
wav. correl.:  slope =   6.238D-05  intercept =   3.667  corr. coeff. =   0.438

Abundance Results for Species Sc II        (input abundance =   0.400)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4246.822   21.10000   0.315   0.242   149.30    -4.454     0.706    0.114
  4415.557   21.10000   0.595  -0.668    81.20    -4.735     0.486   -0.107
  5031.021   21.10000   1.357  -0.400    48.10    -5.020     0.446   -0.147
  5526.790   21.10000   1.768   0.024    55.10    -5.001     0.586   -0.007
  5657.896   21.10000   1.507  -0.603    47.80    -5.073     0.740    0.148
average abundance =  0.593     std. deviation =  0.130     #lines =   5
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.095  intercept =   1.053  corr. coeff. =   0.189
wav. correl.:  slope =   4.086D-05  intercept =   0.389  corr. coeff. =   0.199

Abundance Results for Species Ti I         (input abundance =   2.200)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  3989.758   22.00000   0.021  -0.130    80.40    -4.696     2.133   -0.255
  3998.636   22.00000   0.048   0.020    90.90    -4.643     2.220   -0.168
  4840.874   22.00000   0.900  -0.430    34.60    -5.146     2.535    0.148
  4981.730   22.00000   0.848   0.570    93.00    -4.729     2.379   -0.008
  4991.066   22.00000   0.836   0.450    84.20    -4.773     2.333   -0.054
  4997.097   22.00000   0.000  -2.070    26.40    -5.277     2.761    0.374
  4999.503   22.00000   0.826   0.320    70.90    -4.848     2.233   -0.154
  5014.276   22.00000   0.813   0.040    91.20    -4.740     2.818    0.431
  5016.161   22.00000   0.848  -0.480    23.90    -5.322     2.266   -0.121
  5039.958   22.00000   0.021  -1.080    51.70    -4.989     2.219   -0.169
  5064.653   22.00000   0.048  -0.940    83.00    -4.785     2.560    0.173
  5173.743   22.00000   0.000  -1.060    62.30    -4.919     2.289   -0.098
  5192.969   22.00000   0.021  -0.950    68.40    -4.880     2.287   -0.100
average abundance =  2.387     std. deviation =  0.216     #lines =  13
 No statistics done for E.P. trends
R.W. correlation:  slope =  -0.229  intercept =   1.262  corr. coeff. =  -0.234
wav. correl.:  slope =   1.965D-04  intercept =   1.430  corr. coeff. =   0.362

Abundance Results for Species Ti II        (input abundance =   2.200)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4028.338   22.10000   1.892  -0.920    68.70    -4.768     2.861    0.054
  4290.215   22.10000   1.165  -0.870   116.60    -4.566     2.713   -0.095
  4300.042   22.10000   1.180  -0.460   162.30    -4.423     3.173    0.365
  4337.914   22.10000   1.080  -0.960   125.40    -4.539     2.835    0.027
  4394.059   22.10000   1.221  -1.770    79.50    -4.742     2.810    0.002
  4395.031   22.10000   1.084  -0.540   146.50    -4.477     2.792   -0.016
  4395.839   22.10000   1.243  -1.930    61.70    -4.853     2.640   -0.167
  4398.271   22.10000   1.224  -2.780    21.60    -5.309     2.658   -0.150
  4399.765   22.10000   1.237  -1.200   109.40    -4.604     2.908    0.100
  4417.713   22.10000   1.165  -1.190   129.10    -4.534     3.201    0.393
  4418.331   22.10000   1.237  -1.990    81.50    -4.734     3.087    0.280
  4443.801   22.10000   1.080  -0.710   133.10    -4.524     2.665   -0.143
  4444.554   22.10000   1.116  -2.200    60.40    -4.867     2.697   -0.110
  4450.482   22.10000   1.084  -1.520   104.00    -4.631     2.867    0.059
  4468.493   22.10000   1.131  -0.630   115.10    -4.589     2.268   -0.540
  4636.320   22.10000   1.165  -3.230    30.80    -5.178     3.182    0.375
  4865.610   22.10000   1.116  -2.700    35.90    -5.132     2.638   -0.170
  5154.068   22.10000   1.566  -1.750    77.30    -4.824     2.924    0.117
  5185.902   22.10000   1.893  -1.410    56.80    -4.960     2.662   -0.146
  5188.687   22.10000   1.582  -1.050   114.70    -4.655     2.933    0.125
  5226.539   22.10000   1.566  -1.260    89.10    -4.768     2.624   -0.184
  5336.786   22.10000   1.582  -1.600    74.20    -4.857     2.697   -0.111
  5381.021   22.10000   1.566  -1.970    67.10    -4.904     2.922    0.114
  5418.768   22.10000   1.582  -2.130    39.80    -5.134     2.651   -0.157
  6559.563   22.10000   2.048  -2.175    20.20    -5.512     2.785   -0.023
average abundance =  2.808     std. deviation =  0.211     #lines =  25
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.121  intercept =   3.389  corr. coeff. =   0.158
wav. correl.:  slope =  -4.652D-05  intercept =   3.028  corr. coeff. =  -0.124

Abundance Results for Species V  I         (input abundance =   1.180)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4379.230   23.00000   0.301   0.580    41.30    -5.025     0.939    0.000
average abundance =  0.939     std. deviation =  0.000     #lines =   1
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species V  II        (input abundance =   1.180)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  3951.957   23.10000   1.476  -0.730    35.20    -5.050     1.301    0.000
average abundance =  1.301     std. deviation =  0.000     #lines =   1
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Cr I         (input abundance =   2.890)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5345.796   24.00000   1.004  -0.896    56.30    -4.978     2.602    0.040
  5348.314   24.00000   1.004  -1.210    25.70    -5.318     2.394   -0.168
  5409.784   24.00000   1.030  -0.670    75.40    -4.856     2.691    0.128
average abundance =  2.562     std. deviation =  0.152     #lines =   3
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Mn I         (input abundance =   2.680)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4030.750   25.00000   0.000  -0.494   152.00    -4.424     2.335    0.191
  4033.060   25.00000   0.000  -0.644   133.40    -4.480     2.066   -0.078
  4034.480   25.00000   0.000  -0.842   130.40    -4.491     2.191    0.047
  4041.350   25.00000   2.114   0.277    31.10    -5.114     1.984   -0.160
average abundance =  2.144     std. deviation =  0.153     #lines =   4
E.P. correlation:  slope =  -0.101  intercept =   2.198  corr. coeff. =  -0.697
R.W. correlation:  slope =   0.351  intercept =   3.768  corr. coeff. =   0.747
 No statistics done for wavelength trends

Abundance Results for Species Co I         (input abundance =   2.240)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  3995.307   27.00000   0.923  -0.220    99.80    -4.602     2.287   -0.048
  4118.773   27.00000   1.049  -0.490    86.50    -4.678     2.368    0.033
  4121.318   27.00000   0.923  -0.320   102.70    -4.603     2.351    0.016
average abundance =  2.336     std. deviation =  0.043     #lines =   3
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Ni I         (input abundance =   3.470)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5476.904   28.00000   1.826  -0.780   105.80    -4.714     3.424   -0.073
  6643.630   28.00000   1.676  -2.220    44.20    -5.177     3.531    0.034
  6767.772   28.00000   1.826  -2.140    37.70    -5.254     3.536    0.039
average abundance =  3.497     std. deviation =  0.063     #lines =   3
 No statistics done for E.P. trends
R.W. correlation:  slope =  -0.216  intercept =   2.407  corr. coeff. =  -0.996
wav. correl.:  slope =   8.879D-05  intercept =   2.938  corr. coeff. =   0.999

Abundance Results for Species Sr II        (input abundance =   0.120)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4077.709   38.10000   0.000   0.167   215.90    -4.276     0.380   -0.116
  4215.519   38.10000   0.000  -0.145   215.20    -4.292     0.613    0.116
average abundance =  0.497     std. deviation =  0.165     #lines =   2
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Y  II        (input abundance =  -0.540)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4398.010   39.10000   0.130  -1.000    59.30    -4.870    -0.361    0.098
  4883.682   39.10000   1.084   0.070    51.90    -4.974    -0.442    0.017
  4900.119   39.10000   1.033  -0.090    42.40    -5.063    -0.520   -0.060
  5087.419   39.10000   1.084  -0.170    31.80    -5.204    -0.608   -0.148
  5200.410   39.10000   0.992  -0.570    30.80    -5.227    -0.367    0.093
average abundance = -0.460     std. deviation =  0.105     #lines =   5
 No statistics done for E.P. trends
 No statistics done for R.W. trends
wav. correl.:  slope =  -1.311D-04  intercept =   0.182  corr. coeff. =  -0.384

Abundance Results for Species Zr II        (input abundance =  -0.170)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4161.200   40.10000   0.713  -0.590    70.40    -4.772     0.841    0.089
  4208.980   40.10000   0.713  -0.510    67.30    -4.796     0.662   -0.089
average abundance =  0.751     std. deviation =  0.126     #lines =   2
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Ba II        (input abundance =  -0.570)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4934.076   56.10000   0.000  -0.150   143.70    -4.536    -0.498    0.355
  5853.668   56.10000   0.604  -1.000    33.60    -5.241    -1.064   -0.211
  6141.713   56.10000   0.704  -0.076    94.50    -4.813    -0.913   -0.060
  6496.897   56.10000   0.604  -0.377    86.70    -4.875    -0.936   -0.084
average abundance = -0.853     std. deviation =  0.246     #lines =   4
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.767  intercept =   2.882  corr. coeff. =   0.906
wav. correl.:  slope =  -2.962D-04  intercept =   0.882  corr. coeff. =  -0.806

==================================================================================================
#pigs04
 PLEZ2000 T4597.0:g1.11:z-3.20:a+0.40:he0.0 TAU_5000 Tvtvt= 2.70/H=-3.20
ALL abundances NOT listed below differ from solar by  -3.20 dex

Abundance Results for Species Fe I         (input abundance =   4.300)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5051.634   26.00000   0.915  -2.795    44.20    -5.058     3.963   -0.412
  5068.766   26.00000   2.940  -1.042    23.90    -5.327     4.331   -0.044
  5079.223   26.00000   2.198  -2.067    27.70    -5.263     4.532    0.157
  5079.740   26.00000   0.990  -3.220    59.50    -4.931     4.691    0.315
  5083.338   26.00000   0.958  -2.958    56.20    -4.956     4.347   -0.029
  5110.413   26.00000   0.000  -3.760   106.20    -4.682     4.641    0.265
  5127.359   26.00000   0.915  -3.307    61.70    -4.920     4.708    0.332
  5150.839   26.00000   0.990  -3.003    51.80    -4.998     4.356   -0.020
  5151.911   26.00000   1.011  -3.322    37.20    -5.141     4.486    0.110
  5162.272   26.00000   4.178   0.020    27.10    -5.280     4.815    0.439
  5166.282   26.00000   0.000  -4.195    74.70    -4.840     4.612    0.236
  5171.596   26.00000   1.485  -1.793    91.60    -4.752     4.315   -0.061
  5191.455   26.00000   3.039  -0.551    37.80    -5.138     4.207   -0.169
  5192.344   26.00000   2.998  -0.421    42.70    -5.085     4.107   -0.268
  5194.941   26.00000   1.557  -2.090    66.60    -4.892     4.343   -0.032
  5215.180   26.00000   3.266  -0.871    20.70    -5.401     4.462    0.087
  5216.274   26.00000   1.608  -2.150    64.90    -4.905     4.439    0.063
  5217.389   26.00000   3.211  -1.070    22.30    -5.369     4.634    0.258
  5225.526   26.00000   0.110  -4.789    30.00    -5.241     4.700    0.324
  5232.940   26.00000   2.940  -0.058    67.30    -4.891     4.020   -0.356
  5254.956   26.00000   0.110  -4.764    29.40    -5.252     4.658    0.282
  5266.555   26.00000   2.998  -0.386    42.10    -5.097     4.055   -0.321
  5269.537   26.00000   0.859  -1.321   161.40    -4.514     4.185   -0.191
  5281.790   26.00000   3.039  -0.834    20.70    -5.407     4.145   -0.231
  5307.361   26.00000   1.608  -2.987    27.50    -5.286     4.700    0.324
  5324.179   26.00000   3.211  -0.103    52.30    -5.008     4.176   -0.199
  5328.039   26.00000   0.915  -1.466   149.40    -4.552     4.180   -0.195
  5328.531   26.00000   1.557  -1.850    94.00    -4.753     4.465    0.090
  5332.899   26.00000   1.557  -2.777    26.50    -5.304     4.402    0.026
  5339.929   26.00000   3.266  -0.647    20.00    -5.427     4.210   -0.166
  5369.961   26.00000   4.371   0.536    40.00    -5.128     4.746    0.370
  5371.489   26.00000   0.958  -1.645   160.50    -4.525     4.588    0.212
  5383.369   26.00000   4.313   0.645    25.70    -5.321     4.301   -0.074
  5393.167   26.00000   3.241  -0.715    27.20    -5.297     4.403    0.028
  5397.128   26.00000   0.915  -1.993   128.20    -4.624     4.327   -0.049
  5405.774   26.00000   0.990  -1.844   132.10    -4.612     4.341   -0.035
  5415.199   26.00000   4.387   0.642    30.60    -5.248     4.489    0.113
  5424.068   26.00000   4.320   0.520    22.20    -5.388     4.350   -0.026
  5429.696   26.00000   0.958  -1.879   134.40    -4.606     4.362   -0.013
  5434.523   26.00000   1.011  -2.122   120.00    -4.656     4.429    0.053
  5446.917   26.00000   0.990  -1.914   134.10    -4.609     4.434    0.058
  5497.516   26.00000   1.011  -2.849    80.10    -4.837     4.555    0.179
  5501.465   26.00000   0.958  -3.047    67.10    -4.914     4.518    0.142
  5506.779   26.00000   0.990  -2.797    87.10    -4.801     4.573    0.197
  5572.842   26.00000   3.397  -0.275    27.40    -5.308     4.143   -0.233
  5586.755   26.00000   3.368  -0.120    38.50    -5.162     4.148   -0.228
  5615.644   26.00000   3.332   0.050    47.90    -5.069     4.079   -0.297
  6065.482   26.00000   2.609  -1.530    23.30    -5.416     4.312   -0.064
  6136.615   26.00000   2.453  -1.400    38.40    -5.204     4.265   -0.111
  6137.691   26.00000   2.588  -1.403    29.70    -5.315     4.285   -0.091
  6191.558   26.00000   2.433  -1.417    33.10    -5.272     4.166   -0.210
  6230.722   26.00000   2.559  -1.281    39.60    -5.197     4.287   -0.089
  6252.555   26.00000   2.404  -1.687    26.80    -5.368     4.277   -0.099
  6335.330   26.00000   2.198  -2.177    20.40    -5.492     4.366   -0.010
  6393.601   26.00000   2.433  -1.432    39.10    -5.214     4.263   -0.113
  6400.000   26.00000   3.603  -0.290    20.70    -5.490     4.196   -0.179
  6421.350   26.00000   2.279  -2.027    26.40    -5.386     4.442    0.066
  6430.845   26.00000   2.176  -2.006    31.80    -5.306     4.398    0.022
  6494.980   26.00000   2.404  -1.273    50.70    -5.108     4.228   -0.148
  6677.985   26.00000   2.692  -1.418    29.80    -5.350     4.390    0.014
average abundance =  4.376     std. deviation =  0.197     #lines =  60
E.P. correlation:  slope =  -0.048  intercept =   4.478  corr. coeff. =  -0.294
