Ion,lambda,ExPot,log(gf),Car484,l_Car524,Car524,l_Car612,Car612,f_Car612,l_Car705,Car705,l_Car769,Car769,l_Car1013,Car1013,f_Car1013
Ni I,6586.32,1.95,-2.79,55.9,,44.0,,40.4,,,75.1,,,,56.5,
Ni I,6643.64,1.68,-2.3,152.4,,,,115.3,,,126.5,,113.9,,113.2,
Ni I,6767.78,1.83,-2.17,137.6,,,,104.3,,,120.9,,103.5,,90.0,
Cu I,5105.5,1.39,-1.505,115.5,,50.1,<,30.0,,,89.6,,71.8,,,
Zn I,4810.54,4.08,-0.17,85.2,,58.2,,41.7,,,81.7,,81.2,,60.0,
Y II,4883.69,1.08,0.07,118.9,,79.6,,42.6,,,86.9,,99.4,,121.7,
Y II,5087.43,1.08,-0.17,79.9,,63.2,,37.0,,,76.3,,66.4,,90.0,
Y II,5200.42,0.99,-0.57,61.8,,56.6,<,30.0,,,,,60.8,,77.9,
Ba II,5853.69,0.6,-1.01,152.0,,137.6,,93.0,,,92.7,,121.7,,130.0,
Ba II,6141.73,0.7,-0.077,,,,,,S,,144.9,,162.0,,,S
Ba II,6496.91,0.6,-0.38,,,,,163.0,,,173.6,,159.5,,195.0,
La II,6320.43,0.17,-1.562,45.1,,37.2,<,30.0,,<,30.0,<,30.0,<,30.0,
La II,6390.46,0.32,-1.4,41.2,<,30.0,<,30.0,,<,30.0,<,30.0,<,30.0,
La II,6774.27,0.13,-1.708,42.8,,31.0,<,30.0,,<,30.0,,36.0,<,30.0,
Nd II,5249.59,0.98,0.2,84.8,,70.3,<,30.0,,,77.1,,48.3,,52.1,
Nd II,5319.82,0.55,-0.14,99.5,,70.9,,30.6,,,67.1,,48.2,,80.3,
Eu II,6645.13,1.37,0.12,30.5,<,30.0,<,30.0,,<,30.0,<,30.0,,34.4,
